N;Funding Year;Report 4.5;Manual Tags;Research Lines;Publication Year;Author original;Author;File Attachments;Link Attachments;Manual Tags.1;Lines Collaboration;N.1;Title of publication;Journal;Volume;Pages;Year;CR2 ;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc.;Undergraduated Students;Graduated Students;FONDAP;FONDECYT;FONDEF;BASAL;ICM;OTHER (especify);ESPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;Copy for Cites DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;CR2;OTHER (specify)
1.0;2013;si;Servicios Ecosistémicos;ECO;2013;"Delgado-Baquerizo, Manuel; Maestre, Fernando T.; Gallardo, Antonio; Bowker, Matthew A.; Wallenstein, Matthew D.; Quero, Jose Luis; Ochoa, Victoria; Gozalo, Beatriz; García-Gómez, Miguel; Soliveres, Santiago; García-Palacios, Pablo; Berdugo, Miguel; Valencia, Enrique; Escolar, Cristina; Arredondo, Tulio; Barraza-Zepeda, Claudia; Bran, Donaldo; Carreira, José Antonio; Chaieb, Mohamed; Conceição, Abel A.; Derak, Mchich; Eldridge, David J.; Escudero, Adrián; Espinosa, Carlos I.; Gaitán, Juan; Gatica, M. Gabriel; Gómez-González, Susana; Guzman, Elizabeth; Gutiérrez, Julio R.; Florentino, Adriana; Hepper, Estela; Hernández, Rosa M.; Huber-Sannwald, Elisabeth; Jankju, Mohammad; Liu, Jushan; Mau, Rebecca L.; Miriti, Maria; Monerris, Jorge; Naseri, Kamal; Noumi, Zouhaier; Polo, Vicente; Prina, Aníbal; Pucheta, Eduardo; Ramírez, Elizabeth; Ramírez-Collantes, David A.; Romão, Roberto; Tighe, Matthew; Torres, Duilio; Torres-Díaz, Cristian; Ungar, Eugene D.; Val, James; Wamiti, Wanyoike; Wang, Deli; Zaady, Eli";Delgado-Baquerizo, M., Maestre, F. T., Gallardo, A., Bowker, M. A., Wallenstein, M. D., Quero, J. L., Gómez-González, S., … Zaady, E.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/delgado-baquerizo_et_al_2013_decoupling_of_soil_nutrient_cycles_as_a_function_of_aridity_in_global_drylands.pdf;;Servicios Ecosistémicos;1.0;1.0;Decoupling of soil nutrient cycles as a function of aridity in global drylands;Nature;vol.502 is.7473;672-676;2013;1.0;1;;;;;;;;;;;;;100;;Nature;0028-0836;NATURE;Multidisciplinary Sciences;1/63;1,58730158730159%;1;38,138;41,458;Q1;Decoupling of soil nutrient cycles as a function of aridity in global drylands;10.1038/nature12670;10.1038/nature12670;Decoupling of soil nutrient cycles as a function of aridity in global drylands;137.0;199;33,17;0;1;20;31;43;42;61;;;;;10.1038/nature12670;{Brazil, Canada, Israel, Australia, Iran, Peru, Mexico, Tunisia, United States, Morocco, China, Ecuador, Chile, Kenya, Argentina, Venezuela, Spain};"{Departamento de Sistemas Físicos, Químicos y Naturales, Universidad Pablo de Olavide, Carretera de Utrera, kilómetro 1, 41013 Sevilla, Spain; Area de Biodiversidad y Conservación, Departamento de Biología y Geología, Universidad Rey Juan Carlos, Calle Tulipan Sin Numero, 28933 Mostoles, Spain; School of Forestry, Northern Arizona University, Flagstaff, AZ 86011, United States; Natural Resource Ecology Laboratory, Colorado State University, Fort Collins, CO 80523, United States; Departamento de Ingeniería Forestal,Campusde Rabanales Universidad de Córdoba, Carretera de Madrid, kilómetro 396, 14071 Córdoba, Spain; Department of Biology, Colorado State University, Fort Collins, CO 80523, United States; División de Ciencias Ambientales, Instituto Potosino de Investigación Científica y Tecnológica, San Luis Potosí, 78210, Mexico; Departamento de Biología, Universidad de la Serena, La Serena 599, 1700000, Chile; Instituto Nacional de Tecnología Agropecuaria, Estación Experimental San Carlos de Bariloche 277, Bariloche, Río Negro, 8400, Argentina; Universidad de Jaen, Departamento de Biología Animal, Biología Vegetal y Ecología, 23071 Jaen, Spain; Université de Sfax, Faculté des Sciences, Unité de Recherche Plant Diversity and Ecosystems in Arid Environments, Route de Sokra, kilomè tre 3.5, Boîte Postale 802, 3018 Sfax, Tunisia; Departamento de Ciências Biológicas, Universidade Estadual de Feira de Santana, Avenida Transnordestina Sin Número, Bairro Novo Horizonte, Feira de Santana, 44036-900, Brazil; Direction Regionale des Eaux et Forê Ts et de la Lutte Contre la de Sertification du Rif, Avenue Mohamed 5, Boîte Postale 722, 93000 Tétouan, Morocco; School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW 2052, Australia; Instituto de Ecología, Universidad Técnica Particular de Loja, San Cayetano Alto, Marcelino Champagnat, Loja, 11-01-608, Ecuador; Departamento de Biología, Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de San Juan, Rivadavia, San Juan, J5402DCS, Argentina; Laboratorio de Genómica y Biodiversidad, Departamento de CienciasBásicas, Universidad Del Bío-Bío 447, Chillán, 3780000, Chile; Instituto de Edafología, Facultad de Agronomía, Ciudad Universitaria, Caracas, 1051, Venezuela; Facultad de Agronomía, Universidad Nacional de la Pampa, Casilla de Correo 300, 6300 Santa Rosa, La Pampa, Argentina; Laboratorio de Biogeoquímica, Centro de Agroecología Tropical, Universidad Experimental Simón Rodríguez, United States; Department of Range and Watershed Management, Faculty of Natural Resources and Environment, Ferdowsi University of Mashhad, Azadi Square, Mashhad 91775-1363, Iran; Institute of Grassland Science, Northeast Normal University and Key Laboratory of Vegetation Ecology, Ministry of Education, Changchun, Jilin Province 130024, China; Department of Biological Sciences, Northern Arizona University, PO Box 5640, Flagstaff, AZ 86011-5640, United States; Department of Evolution, Ecology and Organismal Biology, Ohio State University, 318 West 12th Avenue, Columbus, OH 43210, United States; Université du Québecà Montréal Pavillon des Sciences Biologiques, Département des Sciences Biologiques, 141 Président-Kennedy, Montré al, Québec H2X 3Y5, Canada; Production Systems and the Environment Sub-Program, International Potato Center., Apartado 1558, Lima 12, Peru; Department of Agronomy and Soil Science, School of Environmental and Rural Science, University of New England, Armidale, NSW 2351, Australia; Departamento de Química y Suelos, Decanato de Agronomía, Universidad Centroccidental ''lisandro Alvarado'', Barquisimeto 3001, Venezuela; Department of Agronomy and Natural Resources, Institute of Plant Sciences, Agricultural Research Organization, Volcani Center, Bet Dagan 50250, Israel; Office of Environment and Heritage, PO Box 363, Buronga, NSW 2739, Australia; Zoology Department, National Museums of Kenya, Ngara Road, Nairobi, 78420-00500, Kenya; Department of Natural Resources and Agronomy, Agriculture Research Organization, Ministry of Agriculture, Gilat Research Center, Mobile Post Negev 85280, Israel}";Decoupling of soil nutrient cycles as a function of aridity in global drylands;TRUE;1;1;2;2;;
2.0;2013;si;Modelación y Sistemas de Observación;MOS;2013;"Eby, M.; Weaver, A. J.; Alexander, K.; Zickfeld, K.; Abe-Ouchi, A.; Cimatoribus, A. A.; Crespin, E.; Drijfhout, S. S.; Edwards, N. R.; Eliseev, A. V.; Feulner, G.; Fichefet, T.; Forest, C. E.; Goosse, H.; Holden, P. B.; Joos, F.; Kawamiya, M.; Kicklighter, D.; Kienert, H.; Matsumoto, K.; Mokhov, I. I.; Monier, E.; Olsen, S. M.; Pedersen, J. O. P.; Perrette, M.; Philippon-Berthier, G.; Ridgwell, A.; Schlosser, A.; Schneider von Deimling, T.; Shaffer, G.; Smith, R. S.; Spahni, R.; Sokolov, A. P.; Steinacher, M.; Tachiiri, K.; Tokos, K.; Yoshimori, M.; Zeng, N.; Zhao, F.";Eby, M., Weaver, A. J., Alexander, K., Zickfeld, K., Abe-Ouchi, A., Cimatoribus, A. A., Shaffer, G., … Zhao, F.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/eby_et_al_2013_historical_and_idealized_climate_model_experiments.pdf;;Modelación y Sistemas de Observación;1.0;2.0;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;Climate of the Past;vol.9 is.3;1111-1140;2013;1.0;1;;;;;;;;;;;;;100;;Climate of the Past;1814-9324;CLIM PAST;Meteorology & Atmospheric Sciences;13/84;15,4761904761905%;0;3,638;3,722;Q1;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;10.5194/cp-9-1111-2013;10.5194/cp-9-1111-2013;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;62.0;76;12,67;0;8;13;7;14;20;14;;;;;10.5194/cp-9-1111-2013;{Canada, United States, Netherlands, Denmark, United Kingdom, Belgium, Germany, Chile, Russian Federation, Japan, Switzerland};"{School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Simon Fraser University, Vancouver, BC, Canada; Atmosphere and Ocean Research Institute, University of Tokyo, Kashiwa, Japan; Research Institute for Global Change, Japan Agency for Marine-Earth Science and Technology, Yokohama, Japan; Royal Netherlands Meteorological Institute, De Bilt, Netherlands; Georges Lemâtre Centre for Earth and Climate Research, Universit́e Catholique de Louvain, Louvain-La-Neuve, Belgium; Open University, Milton Keynes, United Kingdom; A. M. Obukhov Institute of Atmospheric Physics, RAS Moscow, Russian Federation; Potsdam Institute for Climate Impact Research, Potsdam, Germany; Pennsylvania State University, Pennsylvania, PA, United States; Climate and Environmental Physics, Physics Institute, University of Bern, Bern, Switzerland; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland; Ecosystems Center, MBL, Woods Hole, MA, United States; University of Minnesota, Minneapolis, Minnesota, MN, United States; Massachusetts Institute of Technology, Cambridge, MA, United States; Danish Meteorological Institute, Copenhagen, Denmark; National Space Institute, Technical University of Denmark, Kgs. Lyngby, Denmark; School of Geographical Sciences, University of Bristol, Bristol, United Kingdom; Department of Geophysics, University of Concepcion, Concepcion, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; National Centre for Atmospheric Science - Climate, University of Reading, Reading, United Kingdom; University of Maryland, College Park, Maryland, MO, United States}";Historical and idealized climate model experiments: An intercomparison of Earth system models of intermediate complexity;TRUE;1;0;1;1;;
3.0;2013;si;Dinámica del Clima;CD;2013;"Flores, Federico; Garreaud, René; Muñoz, Ricardo C.";Flores, F., Garreaud, R., & Muñoz, R. C.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/flores_et_al_2013_cfd_simulations_of_turbulent_buoyant_atmospheric_flows_over_complex_geometry.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/CZMTQFP7/S0045793013001795.html";;Dinámica del Clima;1.0;3.0;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;Computers & Fluids;vol.82;1-13;2013;2.0;1;;;;;;;1.0;;;;;;100;;Computers & Fluids;0045-7930;COMPUT FLUIDS;Computer Science, Interdisciplinary Applications;36/104;34,6153846153846%;0;1,891;2,071;Q2;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;10.1016/j.compfluid.2013.04.029;10.1016/j.compfluid.2013.04.029;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;14.0;21;3,5;0;1;1;3;0;9;7;;;;;10.1016/j.compfluid.2013.04.029;{Departamento de Geof, Chile};"{Departamento de Geof;sica, Universidad de Chile, Santiago, Chile}";CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;TRUE;1;0;1;1;;
4.0;2013;si;"Dinámica del Clima; Modelación y Sistemas de Observación";CD, MOS;2013;"Garreaud, R.; Lopez, P.; Minvielle, M.; Rojas, M.";Garreaud, R., Lopez, P., Minvielle, M., & Rojas, M.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2012/garreaud_et_al_2012_large-scale_control_on_the_patagonian_climate.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/UG3RGEHS/JCLI-D-12-00001.html";;"Dinámica del Clima; Modelación y Sistemas de Observación";2.0;4.0;Large-Scale Control on the Patagonian Climate;Journal of Climate;vol.26 is.1;215-230;2013;2.0;2;;;;;;;;;;;;;100;;Journal of Climate;0894-8755;J CLIMATE;Meteorology & Atmospheric Sciences;7/84;8,33333333333333%;1;4,85;5,449;Q1;Large-Scale Control on the Patagonian Climate;10.1175/JCLI-D-12-00001.1;10.1175/JCLI-D-12-00001.1;Large-Scale Control on the Patagonian Climate;103.0;136;22,67;0;7;21;21;22;32;33;;;;;10.1175/JCLI-D-12-00001.1;{Chile};{Department of Geophysics, Universidad de Chile, Santiago, Chile};Large-scale control on the Patagonian climate;TRUE;0;0;1;1;;
5.0;2013;si;Modelación y Sistemas de Observación;MOS;2013;"Glasow, Roland von; Jickells, Tim D.; Baklanov, Alexander; Carmichael, Gregory R.; Church, Tom M.; Gallardo, Laura; Hughes, Claire; Kanakidou, Maria; Liss, Peter S.; Mee, Laurence; Raine, Robin; Ramachandran, Purvaja; Ramesh, R.; Sundseth, Kyrre; Tsunogai, Urumu; Uematsu, Mitsuo; Zhu, Tong";Glasow, R. von, Jickells, T. D., Baklanov, A., Carmichael, G. R., Church, T. M., Gallardo, L., … Zhu, T.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2012/glasow_et_al_2012_megacities_and_large_urban_agglomerations_in_the_coastal_zone.pdf;;Modelación y Sistemas de Observación;1.0;5.0;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;AMBIO;vol.42 is.1;13-28;2013;1.0;1;;;;;;;;;;;;;100;;AMBIO;0044-7447;AMBIO;Environmental Sciences;69/225;30,6666666666667%;0;2,555;3,358;Q2;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;10.1007/s13280-012-0343-9;10.1007/s13280-012-0343-9;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;23.0;36;6;0;0;5;4;2;12;13;;;;;10.1007/s13280-012-0343-9;{United States, Chile, Denmark, India, United Kingdom, China, Ireland, Greece, Japan, Norway};"{School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom; Danish Meteorological Institute, Copenhagen, Denmark; Department of Chemical and Biochemical Engineering, University of Iowa, Iowa City, IA 52242, United States; School of Marine Science and Policy, University of Delaware, Newark, DE 19716-3501, United States; Departamento de Geofísica, Centro de Modelamiento Matemático, Universidad de Chile, Blanco Encalada 2002, Piso 4, Santiago, Chile; Environment Department, University of York, Heslington, York YO10 5DD, United Kingdom; Environmental Chemical Processes Laboratory, Department of Chemistry, University of Crete, P.O. Box 2208, 71003 Heraklion, Greece; Scottish Marine Institute, Scottish Association for Marine Science (SAMS), Oban, Argyll PA37 1QA, United Kingdom; Ryan Institute for Environmental, Marine and Energy Research, National University of Ireland, Galway, Ireland; Institute for Ocean Management, Anna University, Chennai 600 025, India; Center for Ecology and Economics (CEE), NILU-Norwegian Institute for Air Research, Instituttveien 18, 2007 Kjeller, Norway; Graduate School of Environmental Studies, Nagoya University, Furo-cho, Chikusa-ku, Nagoya 464-8601, Japan; Center for International Collaboration, Atmosphere and Ocean Research Institute, University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa, Chiba 277-8564, Japan; State Key Laboratory for Environmental Simulation and Pollution Control, College of Environmental Sciences and Engineering, Peking University, Beijing 100871, China}";Megacities and large urban agglomerations in the coastal zone: Interactions between atmosphere, land, and marine ecosystems;TRUE;1;0;2;1;;
6.0;2013;si;Modelación y Sistemas de Observación;MOS;2013;"Joos, F.; Roth, R.; Fuglestvedt, J. S.; Peters, G. P.; Enting, I. G.; von Bloh, W.; Brovkin, V.; Burke, E. J.; Eby, M.; Edwards, N. R.; Friedrich, T.; Frölicher, T. L.; Halloran, P. R.; Holden, P. B.; Jones, C.; Kleinen, T.; Mackenzie, F. T.; Matsumoto, K.; Meinshausen, M.; Plattner, G.-K.; Reisinger, A.; Segschneider, J.; Shaffer, G.; Steinacher, M.; Strassmann, K.; Tanaka, K.; Timmermann, A.; Weaver, A. J.";Joos, F., Roth, R., Fuglestvedt, J. S., Peters, G. P., Enting, I. G., von Bloh, W., Shaffer, G., … Weaver, A. J.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/joos_et_al_2013_carbon_dioxide_and_climate_impulse_response_functions_for_the_computation_of.pdf;;Modelación y Sistemas de Observación;1.0;6.0;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;Atmospheric Chemistry and Physics;vol.13 is.5;2793-2825;2013;1.0;1;;;;;;;;;;;;;100;;Atmospheric Chemistry and Physics;1680-7316;ATMOS CHEM PHYS;Meteorology & Atmospheric Sciences;6/84;7,14285714285714%;1;5,114;5,626;Q1;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;10.5194/acp-13-2793-2013;10.5194/acp-13-2793-2013;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;135.0;181;30,17;0;8;24;29;32;42;45;;;;;10.5194/acp-13-2793-2013;{Canada, United States, Australia, Denmark, United Kingdom, Germany, Chile, Switzerland, New Zealand, Norway};"{Climate and Environmental Physics, Physics Institute, University of Bern, Bern, Switzerland; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland; Center for International Climate and Environmental Research - Oslo (CICERO), P.O. Box 1129 Blindern, 0318 Oslo, Norway; MASCOS, University of Melbourne, 139 Barry St, VIC 3010, Australia; Potsdam Institute for Climate Impact Research, P.O. Box 601203, 14412, Potsdam, Germany; Max Planck Institute for Meteorology, Bundesstr. 53, 20146 Hamburg, Germany; Met Office Hadley Centre, FitzRoy Road, Exeter, EX1 3PB, United Kingdom; School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Open University, Environment, Earth and Ecosystems, Milton Keynes, United Kingdom; International Pacific Research Center, School of Ocean and Earth Science and Technology, University of Hawaii, 1680 East-West Rd., Honolulu, HI, United States; AOS Program, Princeton University, Princeton, NJ, United States; Department of Oceanography, School of Ocean and Earth Science and Technology, University of Hawaii, Honolulu, HI, 96822, United States; Department of Earth Sciences, University of Minnesota, Minneapolis, MN, United States; School of Earth Sciences, University of Melbourne, VIC, Australia; New Zealand Agricultural Greenhouse Gas Research Centre, Palmerston North 4442, New Zealand; Department of Geophysics, University of Concepcion, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; Institute for Atmospheric and Climate Science, ETH Zurich, Zurich, Switzerland}";Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: A multi-model analysis;TRUE;1;0;1;1;;
7.0;2013;si;Servicios Ecosistémicos;ECO;2013;"Labarca Encina, Rafael; Pino, Mario; Recabarren, Omar";Labarca Encina, R., Pino, M., & Recabarren, O.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/labarca_encina_et_al_2013_los_lamini_(cetartiodactyla.pdf;;Servicios Ecosistémicos;1.0;7.0;Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): aspectos taxonómicos y tafonómicos preliminares;Estudios Geologicos;vol.69 is.2;255-269;2013;1.0;1;;;;;;;;;;;;;100;;Estudios Geologicos;0367-0449;ESTUD GEOL-MADRID;Geology;47/47;100%;0;0,325;0,62;Q4;Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): aspectos taxonómicos y tafonómicos preliminares;10.3989/egeol.40862.219;10.3989/egeol.40862.219;The extinct Lamini (Cetartiodactyla: camelidae) from Pilauco site (Chilean north Patagonia): preliminary taxonomic and taphonomic features;0.0;0;0;0;0;0;0;0;0;0;;;;;10.3989/egeol.40862.219;{Chile};{Laboratorio de Paleoecología, Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Casilla 567, Valdivia, Chile};The extinct Lamini (Cetartiodactyla: Camelidae) from Pilauco site (Chilean north Patagonia): Preliminary taxonomic and taphonomic features [Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): Aspectos taxonómicos y tafonómicos preliminares];TRUE;0;0;1;1;;
8.0;2013;si;Servicios Ecosistémicos;ECO;2013;"Molina-Montenegro, Marco A.; Ricote-Martínez, Natalia; Muñoz-Ramírez, Carlos; Gómez-González, Susana; Torres-Díaz, Cristian; Salgado-Luarte, Cristian; Gianoli, Ernesto";Molina-Montenegro, M. A., Ricote-Martínez, N., Muñoz-Ramírez, C., Gómez-González, S., Torres-Díaz, C., Salgado-Luarte, C., & Gianoli, E.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/molina-montenegro_et_al_2013_positive_interactions_between_the_lichen_usnea_antarctica_(parmeliaceae)_and.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/DFUNAHW5/abstract;jsessionid=6F1D17C095B7AF050DE0C887C1599509.html";;Servicios Ecosistémicos;1.0;8.0;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;Journal of Vegetation Science;vol.24 is.3;463-472;2013;1.0;1;;;;;;;;;;;;;100;;Journal of Vegetation Science;1100-9233;J VEG SCI;Forestry;3/66;4,54545454545455%;1;3,151;3,31;Q1;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;10.1111/j.1654-1103.2012.01480.x;10.1111/j.1654-1103.2012.01480.x;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;12.0;12;2;0;1;4;2;4;1;0;;;;;10.1111/j.1654-1103.2012.01480.x;{Chile};"{Centro de Estudios Avanzados en Zonas Áridas (CEAZA), Facultad de Ciencias del Mar, Universidad Católica del Norte, Larrondo, 1281, Coquimbo, Chile; Departamento de Ecología, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento de Zoología, Universidad de Concepción, Concepción, Chile; Departamento de Ciencias Básicas, Universidad del Bío-Bío, Chillan, Chile; Departamento de Biología, Universidad de La Serena, La Serena, Chile; Departamento de Botánica, Universidad de Concepción, Concepción, Chile; Center for Advanced Studies in Ecology and Biodiversity, P. Universidad Católica de Chile, Santiago, Chile}";Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;TRUE;0;1;7;7;;
9.0;2013;si;Servicios Ecosistémicos;ECO;2013;"Pino, Mario; Chávez-Hoffmeister, Martín; Navarro-Harris, Ximena; Labarca, Rafael";Pino, M., Chávez-Hoffmeister, M., Navarro-Harris, X., & Labarca, R.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/pino_et_al_2013_the_late_pleistocene_pilauco_site,_osorno,_south-central_chile.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/TI23EIKP/S1040618212003199.html";;Servicios Ecosistémicos;1.0;9.0;The late Pleistocene Pilauco site, Osorno, south-central Chile;Quaternary International;vol.299;3-12;2013;1.0;1;;;;;;;;;;;;;100;;Quaternary International;1040-6182;QUATERN INT;Geosciences, Multidisciplinary;67/184;36,4130434782609%;0;2,067;2,383;Q2;The late Pleistocene Pilauco site, Osorno, south-central Chile;10.1016/j.quaint.2012.05.001;10.1016/j.quaint.2012.05.001;The late Pleistocene Pilauco site, Osorno, south-central Chile;11.0;12;2;0;2;2;4;1;2;1;;;;;10.1016/j.quaint.2012.05.001;{United Kingdom, Argentina, Chile};"{Instituto de Ciencias Ambientales and Evolutivas, Universidad Austral de Chile, Valdivia, Chile; University of Bristol, School of Earth Sciences, United Kingdom; Departamento de Antropología, Universidad Católica de Temuco, Chile; Programa de Doctorado Universidad Nacional del Centro de la Provincia de Buenos Aires, Argentina}";The late Pleistocene Pilauco site, Osorno, south-central Chile;TRUE;1;1;2;2;;
10.0;2013;si;Dinámica del Clima;CD;2013;"Power, M. J.; Mayle, F. E.; Bartlein, P. J.; Marlon, J. R.; Anderson, R. S.; Behling, H.; Brown, K. J.; Carcaillet, C.; Colombaroli, D.; Gavin, D. G.; Hallett, D. J.; Horn, S. P.; Kennedy, L. M.; Lane, C. S.; Long, C. J.; Moreno, P. I.; Paitre, C.; Robinson, G.; Taylor, Z.; Walsh, M. K.";Power, M. J., Mayle, F. E., Bartlein, P. J., Marlon, J. R., Anderson, R. S., Behling, H., Moreno, P.I, … Walsh, M. K.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2013/power_et_al_2013_climatic_control_of_the_biomass-burning_decline_in_the_americas_after_ad_1500.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/W9FZ2IC6/3.html";;Dinámica del Clima;1.0;10.0;Climatic control of the biomass-burning decline in the Americas after ad 1500;The Holocene;vol.23 is.1;3-13;2013;1.0;1;;;;;;;;;;;;;100;;The Holocene;0959-6836;HOLOCENE;Geosciences, Multidisciplinary;64/184;34,7826086956522%;0;2,135;2,782;Q2;Climatic control of the biomass-burning decline in the Americas after ad 1500;10.1177/0959683612450196;10.1177/0959683612450196;Climatic control of the biomass-burning decline in the Americas after AD 1500;28.0;37;6,17;0;6;7;6;4;5;9;;;;;10.1177/0959683612450196;{Canada, United Kingdom, France, United States, Germany, Chile, Switzerland};"{NHMU, Department of Geography, University of Utah, Salt Lake City, UT, United States; University of Edinburgh, United Kingdom; University of Oregon, United States; University of Wisconsin, United States; Northern Arizona University, United States; Georg-August University, Germany; Canadian Forest Service, Canada; École Pratique des Hautes Études, France; University of Bern, Switzerland; Biogeoscience Institute, University of Calgary, Canada; University of Tennessee, United States; Virginia Tech, United States; University of North Carolina Wilmington, United States; University of Wisconsin Oshkosh, United States; Universidad de Chile, Chile; Université Laval, Canada; Fordham College at Lincoln Center, United States; Central Washington University, United States}";Climatic control of the biomass-burning decline in the Americas after ad 1500;TRUE;1;0;1;1;;
