"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VYRX5FN7","journalArticle","2018","Boisier, Juan P.; Alvarez-Garretón, Camila; Cordero, Raúl R.; Damiani, Alessandro; Gallardo, Laura; Garreaud, René D.; Lambert, Fabrice; Ramallo, Cinthya; Rojas, Maisa; Rondanelli, Roberto","Anthropogenic drying in central-southern Chile evidenced by long-term observations and climate model simulations","Elementa: Science of the Anthropocene","","2325-1026","10.1525/elementa.328","https://www.elementascience.org/article/10.1525/elementa.328/","The socio-ecological sensitivity to water deficits makes Chile highly vulnerable to global change. New evidence of a multi-decadal drying trend and the impacts of a persistent drought that since 2010 has affected several regions of the country, reinforce the need for clear diagnoses of the hydro-climate changes in Chile. Based on the analysis of long-term records (50+ years) of precipitation and streamflow, we confirm a tendency toward a dryer condition in central-southern Chile (30–48°S). We describe the geographical and seasonal character of this trend, as well as the associated large-scale circulation pat- terns. When a large ensemble of climate model simulations is contrasted to observations, anthropogenic forcing appears as the leading factor of precipitation change. In addition to a drying trend driven by greenhouse gas forcing in all seasons, our results indicate that the Antarctic stratospheric ozone deple- tion has played a major role in the summer rainfall decline. Although average model results agree well with the drying trend’s seasonal character, the observed change magnitude is two to three times larger than that simulated, indicating a potential underestimation of future projections for this region. Under present-day carbon emission rates, the drying pathway in Chile will likely prevail during the next decades, although the summer signal should weaken as a result of the gradual ozone layer recovery. The trends and scenarios shown here pose substantial stress on Chilean society and its institutions, and call for urgent action regarding adaptation measures.","2018-12-07","2018-12-13 14:45:39","2019-04-03 13:24:45","2018-12-13 14:45:39","74","","1","6","","","","","","","","","","","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2018/Boisier et al_2018_Anthropogenic drying in central-southern Chile evidenced by long-term.pdf","","Agua y Extremos; Ciudades Resilientes; Gobernanza e Interfaz Ciencia y Política; Zonas Costeras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FMA8ARK","journalArticle","2019","Barria, Pilar; Rojas, Maisa; Moraga, Pilar; Muñoz, Ariel; Bozkurt, Deniz; Alvarez, Camila","Anthropocene and streamflow: Long-term perspective of streamflow variability and water rights","Elementa: Science of the Anthropocene","","2325-1026","10.1525/elementa.340","https://www.elementascience.org/article/10.1525/elementa.340/","Since 1981, water allocation in Chile has been based on a water use rights (WURs) market, with limited regulatory and supervisory mechanisms. The volume to be granted as permanent and eventual WURs is calculated from streamflow records, if stream gauge data are available, or from hydrologic parameter transfer from gauged to ungauged catchments, usually with less than 50 years of record. To test the per- formance of this allocation system, while analyzing the long-term natural variability in water resources, we investigated a 400 year-long (1590–2015) tree-ring reconstruction of runoff and historical water rights for Perquilauquén at Quella catchment, a tributary to the Maule River in Central Chile (35°S–36°30S). Furthermore, we assess how the current legislation would perform under a projected climate scenario, based on historical climate simulations of runoff calibrated against observed data, and future projections. Our analyses indicate that the allocation methodology currently applied by the Water Authority in Chile is very sensitive to the time window of data used, which leads to an underestimation of variability and long-term trends. According to the WURs database provided by the Chilean Water Directorate, WURs at Perquilauquén at Quella are already over-allocated. Considering regional climate projections, this condition will be exacerbated in the future. Furthermore, serious problems regarding the access and quality of infor- mation on already-granted WURs and actual water usage have been diagnosed, which further encumber environmental strategies to deal with and adapt to climate change. We emphasize the urgent need for a review and revision of current water allocation methodologies and water law in Chile, which are not concordant with the dynamics and non-stationarity of hydrological processes. Water scarcity and water governance are two of the key issues to be faced by Chile in the Anthropocene.","2019-01-02","2019-01-14 13:29:58","2019-04-03 13:24:34","2019-01-14 13:29:58","2","","1","7","","","Anthropocene and streamflow","","","","","","","","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Barria et al_2019_Anthropocene and streamflow.pdf","","Agua y Extremos; Gobernanza e Interfaz Ciencia y Política; Transversal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYA7LPST","journalArticle","2018","Sen, Omer Lutfi; Ezber, Yasemin; Bozkurt, Deniz","Euro-Mediterranean climate variability in boreal winter: a potential role of the East Asian trough","Climate Dynamics","","0930-7575","10.1007/s00382-018-4573-9","http://link.springer.com/10.1007/s00382-018-4573-9","Euro-Mediterranean climate variability has been associated mostly with the upstream atmospheric circulation and teleconnection patterns, the North Atlantic Oscillation and European blocking being the main ones. This study shows, for the first time, that the East Asian trough (EAT), a prominent circulation feature of the mid-troposphere in the downstream side, might exert a strong and significant role on the interannual variability of the Euro-Mediterranean climate during boreal winters. We performed empirical orthogonal function analysis on the regions of the EAT and Mediterranean trough (MedT), an important system modulating the climate of the region, to obtain the respective dominant modes of variability at 500-hPa geopotential heights. It appears that the leading modes, the intensity in the case of the EAT and the zonal displacement in the case of the MedT, are significantly correlated with each other (r = − 0.64, p < 0.001). Consequently, when the EAT is strong (weak), the MedT is observed in the west (east) of its climatological location resulting in a warmer (cooler) Middle East and northeastern Africa, a cooler (warmer) western Europe and northwestern Africa, and wetter (dryer) Italian, Balkan and Anatolian peninsulas. Given the fact that the EAT is also a key determinant of the East Asian winter climate, the identified mid-tropospheric link between East Asia and Mediterranean could help interpret some temperature and precipitation co-variability on the opposite sides of the Eurasian continent. We suggest that studies involving the Euro-Mediterranean climate should also consider the role of the EAT as it seems to be a potential driver of the year-to-year, perhaps longer-term, climate variability in the region.","2018-12-06","2019-01-14 13:32:06","2019-01-14 20:31:00","2019-01-14 13:32:06","","","","","","","Euro-Mediterranean climate variability in boreal winter","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2018/Sen et al_2018_Euro-Mediterranean climate variability in boreal winter.pdf","","Transversal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5F3FUW8","journalArticle","2019","Chávez, R.O.; Moreira-Muñoz, A.; Galleguillos, M.; Olea, M.; Aguayo, J.; Latín, A.; Aguilera-Betti, I.; Muñoz, A.A.; Manríquez, H.","GIMMS NDVI time series reveal the extent, duration, and intensity of “blooming desert” events in the hyper-arid Atacama Desert, Northern Chile","International Journal of Applied Earth Observation and Geoinformation","","0303-2434","10.1016/j.jag.2018.11.013","https://linkinghub.elsevier.com/retrieve/pii/S0303243418306202","The “blooming desert”, or the explosive development and flowering of ephemeral herbaceous and some woody desert species during years with abnormally high accumulated rainfall, is a spectacular biological phenomenon of the hyper-arid Atacama Desert (northern Chile) attracting botanists, ecologists, geo-scientists, and the general public from all over the world. However, the number of “blooming deserts”, their geographical distribution and spatio-temporal patterns have not been quantitatively assessed to date. Here, we used NDVI data from the Global Inventory Modeling and Mapping Studies (GIMMS) project to reconstruct the annual land surface phenology (LSP) of the Atacama Desert using a non-parametric statistical approach. From the reconstructed LSP, we detected the “blooming deserts” as positive NDVI anomalies and assessed three dimensions of the events: their temporal extent, intensity of “greening” and spatial extent. We identified 13 “blooming deserts” between 1981 and 2015, of which three (1997–98, 2002–03, and 2011) can be considered major events according to these metrics. The main event occurred in 2011, spanning 180 days between July and December 2011, and spread over 11,136 km 2 of Atacama dry plains. “Blooming deserts” in Atacama have been triggered by the accumulation of precipitation during a period of 2 to 12 months before and during the events. The proposed three-dimensional approach allowed us to characterize different types of “blooming deserts”: with longer episodes or larger spatial distribution or with different “greening” intensities. Its flexibility to reconstruct different LSP and detect anomalies makes this method a useful tool to study these rare phenomena in other deserts in the world also.","2019-04","2019-01-14 13:33:21","2019-01-14 18:03:00","2019-01-14 13:33:21","193-203","","","76","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Chávez et al_2019_GIMMS NDVI time series reveal the extent, duration, and intensity of “blooming.pdf","","Agua y Extremos; Cambio de Uso de Suelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCQDSL3V","journalArticle","2018","Fontúrbel, Francisco E.; Lara, Antonio; Lobos, David; Little, Christian","The cascade impacts of climate change could threaten key ecological interactions","Ecosphere","","2150-8925","10.1002/ecs2.2485","https://onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.2485","Climate change is triggering ecological responses all over the world as a result of frequent, prolonged droughts. It could also affect ecological interactions, particularly pollination and seed dispersal, which play a key role in plant reproduction. We used a tripartite interaction with a mistletoe, its pollinator and its disperser animals to gain insight into this issue. We studied flower and fruit production, and visitation rates during average (2012) and dry (2015) austral summers. Drought in our study area affected precipitation and soil water availability. Although pollinator visits did not significantly differ in these summers, during the dry summer flower and fruit production experienced an important decline, as did seed disperser visits. Also, mistletoe mortality increased from 12% in 2012 to 23% in 2015. This empirical evidence suggests that the cascade effects of climate change may indirectly be hindering ecological interactions in the Valdivian temperate rainforest ecosystem we studied. Long‐term research is essential to provide the knowledge necessary to understand how key ecological processes may be affected in a changing world.","2018-12","2019-01-14 13:39:09","2019-01-14 20:32:31","2019-01-14 13:39:09","e02485","","12","9","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2018/Fontúrbel et al_2018_The cascade impacts of climate change could threaten key ecological interactions.pdf","","Cambio de Uso de Suelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NJHNVVZ","journalArticle","2019","Yang, Mingxi; Fleming, Zoë L.","Estimation of atmospheric total organic carbon (TOC) – paving the path towards carbon budget closure","Atmospheric Chemistry and Physics","","1680-7324","10.5194/acp-19-459-2019","https://www.atmos-chem-phys.net/19/459/2019/","The atmosphere contains a rich variety of reactive organic compounds, including gaseous volatile organic carbon (VOCs), carbonaceous aerosols, and other organic compounds at varying volatility. Here we present a novel and simple approach to measure atmospheric non-methane total organic carbon (TOC) based on catalytic oxidation of organics in bulk air to carbon dioxide. This method shows little sensitivity towards humidity and near 100% oxidation efficiencies for all VOCs tested. We estimate a best-case hourly precision of 8 ppbC during times of low ambient variability in carbon dioxide, methane, and carbon monoxide (CO). As proof of concept of this approach, we show measurements of TOCCCO during August–September 2016 from a coastal city in the southwest United Kingdom. TOCCCO was substantially elevated during the day on weekdays (occasionally over 2 ppm C) as a result of local anthropogenic activity. On weekends and holidays, with a mean (standard error) of 102 (8) ppb C, TOCCCO was lower and showed much less diurnal variability. TOCCCO was significantly lower when winds were coming off the Atlantic Ocean than when winds were coming off land if we exclude the weekday daytime. By subtracting the estimated CO from TOCCCO, we constrain the mean (uncertainty) TOC in Atlantic-dominated air masses to be around 23 ( 8) ppbC during this period. A proton-transfer-reaction mass spectrometer (PTR-MS) was deployed at the same time, detecting a large range of organic compounds (oxygenated VOCs, biogenic VOCs, aromatics, dimethyl sulfide). The total speciated VOCs from the PTRMS, denoted here as Sum(VOC), amounted to a mean (uncertainty) of 12 ( 3) ppbC in marine air. Possible contributions from a number of known organic compounds present in marine air that were not detected by the PTR-MS are assessed within the context of the TOC budget. Finally, we note that the use of a short, heated sample tube can improve the transmission of organics to the analyzer, while operating our system alternately with and without a particle filter should enable a better separation of semi-volatile and particulate organics from the VOCs within the TOC budget. Future concurrent measurements of TOC, CO, and a more comprehensive range of speciated VOCs would enable a better characterization and understanding of the atmospheric organic carbon budget.","2019-01-14","2019-03-01 17:57:20","2019-03-04 14:45:52","2019-03-01 17:57:20","459-471","","1","19","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Yang_Fleming_2019_Estimation of atmospheric total organic carbon (TOC) – paving the path towards.pdf","","Ciudades Resilientes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MBFAXPI","journalArticle","2019","Rey Benayas, José M.; Altamirano, Adison; Miranda, Alejandro; Catalán, Germán; Prado, Marco; Lisón, Fulgencio; Bullock, James M.","Landscape restoration in a mixed agricultural-forest catchment: Planning a buffer strip and hedgerow network in a Chilean biodiversity hotspot","Ambio","","0044-7447","10.1007/s13280-019-01149-2","http://link.springer.com/10.1007/s13280-019-01149-2","Guidance for large-scale restoration of natural or semi-natural linear vegetation elements that takes into account the need to maintain human livelihoods such as farming is often lacking. Focusing on a Chilean biodiversity hotspot, we assessed the landscape in terms of existing woody vegetation elements and proposed a buffer strip and hedgerow network. We used spatial analysis based on Google Earth imagery and QGIS, field surveys, seven guidelines linked to prioritization criteria and seedling availability in the region's nurseries, and estimated the budget for implementing the proposed network. The target landscapes require restoring 0.89 ha km-2 of woody buffer strips to meet Chilean law; 1.4 ha km-2 of new hedgerows is also proposed. The cost of restoration in this landscape is estimated in ca. USD 6900 per planted ha of buffer strips and hedgerows. Financial incentives, education, and professional training of farmers are identified as key issues to implement the suggested restoration actions.","2019-02-15","2019-03-04 12:14:28","2019-03-04 14:34:33","2019-03-04 12:14:28","","","","","","","Landscape restoration in a mixed agricultural-forest catchment","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Rey Benayas et al_2019_Landscape restoration in a mixed agricultural-forest catchment.pdf","","Cambio de Uso de Suelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP4XZU73","journalArticle","2019","Merino-Campos, Víctor; De Pol-Holz, Ricardo; Southon, John; Latorre, Claudio; Collado-Fabbri, Silvana","Marine Radiocarbon Reservoir Age Along the Chilean Continental Margin","Radiocarbon","","0033-8222","10.1017/RDC.2018.81","https://www.cambridge.org/core/product/identifier/S0033822218000814/type/journal_article","We present 37 new radiocarbon (14C) measurements from mollusk shells fragments sampled along the Chilean continental margin and stored in museum collections with known calendar age. These measurements were used to estimate the modern pre-bomb regional marine 14C age deviations from the global ocean reservoir (∆R). Together with previously published data, we calculated regional mean ∆R values for five oceanographic macro regions along the coast plus one for a mid-latitude open ocean setting. In general, upwelling regions north of 42ºS show consistent although sometimes highly variable ∆R values with regional averages ranging from 141 to 196 14C yr, whereas the mid-latitude open ocean location of the Juan Fernández archipelago and the southern Patagonian region show minor, ∆R of 40±38 14C yr, and 52±47 14C yr respectively. We attribute the alongshore decreasing pattern toward higher latitudes to the main oceanographic features along the Chilean coast such as perennial coastal upwelling in northern zone, seasonally variable upwelling at the central part and the large freshwater influence upon the southern","2019-02","2019-03-04 12:15:12","2019-03-04 14:17:58","2019-03-04 12:15:12","195-210","","1","61","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Merino-Campos et al_2019_Marine Radiocarbon Reservoir Age Along the Chilean Continental Margin.pdf","","Cambio de Uso de Suelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGYV6LVV","journalArticle","2019","Pfeiffer, Marco; Latorre, Claudio; Gayo, Eugenia; Amundson, Ronald","Rare calcium chloride–rich soil and implications for the existence of liquid water in a hyperarid environment","Geology","","0091-7613","10.1130/G45642.1","https://pubs.geoscienceworld.org/gsa/geology/article/47/2/163/568106/Rare-calcium-chloriderich-soil-and-implications","We discovered permanently hydrated CaCl2-rich soils in Earth’s driest region, the Atacama Desert. The soils contain up to ∼15% CaCl2. X-ray diffraction indicates the rare minerals sinjarite, schoenite, and tachyhydrite. When water is added, the CaCl2 crust immediately turns white due to an apparent mineralogical phase change from sinjarite to a brine. The surfaces are nearly continuously wet due to the salt’s hygroscopicity. The Ca-enriched soils occur in rare exposures, possibly from shallow groundwater. Unlike the surface of adjacent abundant halite crusts, the CaCl2 outcrops remain continuously wet, with up to 12% water under modern, and essentially rainless, climatic conditions. The wet surface stabilizes the land surface and acts as a dust trap. The sediment began accumulating at ca. 14 ka, contains trace quantities of organic carbon, and has total nitrogen that isotopically reflects significant biologically mediated gaseous losses. These deliquescent salts are unique habitats for life within the climatic limits of life on Earth, and are a potential analog for transient liquid-water sources for microorganisms in Martian soils.","2019-02-01","2019-03-04 12:16:12","2019-03-04 14:19:36","2019-03-04 12:16:12","163-166","","2","47","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Pfeiffer et al_2019_Rare calcium chloride–rich soil and implications for the existence of liquid.pdf","","Ciudades Resilientes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6DFQB7J","journalArticle","2019","Billi, Marco; Blanco, Gustavo; Urquiza, Anahí","What is the ‘Social’ in Climate Change Research? A Case Study on Scientific Representations from Chile","Minerva","","0026-4695","10.1007/s11024-019-09369-2","http://link.springer.com/10.1007/s11024-019-09369-2","Over the last few decades climate change has been gaining importance%%%in international scientifc and political debates. However, the social sciences, especially in Latin America, have only lately become interested in the subject and their%%%approach is still vague. Scientifc understanding of global environmental change and%%%the process of designing public policies to face them are characterized by their complexity as well as by epistemic and normative uncertainties. This makes it necessary%%%to problematize the way in which research eforts understand ‘the social’ of climate%%%change. How do ‘the climate’ and ‘the social’ interpenetrate as scientifc objects?%%%What does the resulting feld look like? Is the combination capable of promoting refexivity and collaboration on the issue, or does it merely become dispersed%%%with difuse boundaries? Our paper seeks to answer these and other related questions using Chile as a case study and examining peer-reviewed scientifc research%%%on the topic. By combining in-depth qualitative content analysis of each paper with a statistical meta-analysis, we were able to: characterize the key content and forms%%%of such literature; identify divisions and patterns within it; and, discuss some factors%%%and trends that may help explain these. We conclude that the literature displays two%%%competing trends: while it is inclined to become fragmented beyond the scope of the%%%‘mitigation’ black box, it also tends to cluster along the lines of methodological distinctions traditionally contested within the social sciences. This, in turn, highlights%%%the persistence of disciplinary divisions within an allegedly interdisciplinary feld.","2019-03-11","2019-03-27 18:35:28","2019-04-03 13:24:19","2019-03-27 18:35:28","","","","","","","What is the ‘Social’ in Climate Change Research?","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2019/Billi et al_2019_What is the ‘Social’ in Climate Change Research.pdf","","Ciudades Resilientes; Gobernanza e Interfaz Ciencia y Política","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
