DOI	AFF	INST	Title	NAT
10.1038/ngeo1797	{Canada, Italy, Nepal, France, Ethiopia, Argentina, Norway, Australia, Germany, Chile, Belgium, China, Spain, Denmark, Finland, United States, Russian Federation, Sweden, Switzerland, New Zealand, Pakistan, South Africa, India, United Kingdom, Japan}	{Department of Botany, Federal Urdu University of Arts Science and Technology, Karachi 75300, Pakistan; Lamont Doherty Earth Observatory, Columbia University, Palisades NY 10964, United States; Woods Hole Oceanographic Institution, Woods Hole MA 2543, United States; School of Earth Sciences, Addis Ababa University, Addis Ababa, Ethiopia; Indian Institute of Tropical Meteorology, Pune 411008, India; Dipartimento di Matematica e Geoscienze, University of Trieste, Trieste 34128, Italy; Swiss Federal Research Institute WSL, Birmensdorf 8903, Switzerland; Département Paléoenvironnements et Paléoclimats (PAL), Université Montpellier, Montpellier 34095, France; Department of Archaeology, History, Cultural Studies and Religion, University of Bergen, Bergen 5020, Norway; Laboratorio de Dendrocronología y Cambio Global, Universidad Austral de Chile, Casilla 567 Valdivia, Chile; Center for Climate and Resilience Research, Universidad de Chile, Casilla 2777 Santiago, Chile; Australian Antarctic Division, Kingston TAS 7050, Australia; Antarctic Climate and Ecosystems Cooperative Research Centre, University of Tasmania, Sandy Bay TAS 7005, Australia; Cooperative Institute for Research in Environmental Sciences, National Oceanic and Atmospheric Administration, Boulder CO 80305, United States; Department of Geography, Johannes Gutenberg University, Mainz 55099, Germany; Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Yunnan 666303, China; Faculty of Science, Nepal Academy of Science and Technology, Khumaltar, GPO Box 3323, Lalitpur, Nepal; Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, China; School of Earth Sciences, University of Melbourne, Melbourne VIC 3010, Australia; Departamento Astrofísica y CC de la Atmósfera, Universidad Complutense de Madrid, Madrid 28040, Spain; Lemaitre Center for Earth and Climate Research, Earth and Life Institute, Université Catholique de Louvain, Louvain-la-Neuve 1348, Belgium; School of Geography, Archaeology and Environmental Studies, University of the Witwatersrand, Wits 2050, South Africa; Hydrologic Research Center, San Diego CA 92130, United States; Oeschger Centre for Climate Change Research, Institute of Geography, University of Bern, Bern 3012, Switzerland; Department of Environmental Sciences, University of Helsinki, Helsinki 00014, Finland; School of Earth Sciences and Environmental Sustainability, Northern Arizona University, Flagstaff AZ 86011, United States; International Project Office, Past Global Changes (PAGES), Bern 3012, Switzerland; Department of Symbiotic System Science, Fukushima University, Fukushima 960-1248, Japan; Department of Physical Geography and Quaternary Geology, Stockholm University, Stockholm 106 91, Sweden; Laboratoire d'Oceanographie et du Climat: Experimentations et Approches Numeriques, Université Pierre et Marie Curie, Paris cedex 575252, France; Department of History, Stockholm University, Stockholm 106 91, Sweden; National Institute of Water and Atmospheric Research Ltd., National Climate Centre, Auckland 1011, New Zealand; Department of Geography, Climatology, Climate Dynamics and Climate Change, Justus Liebig University, Giessen 35390, Germany; Laboratoire des Science du Climat et de l'Environnement, Gif-sur-Yvette 91 191, France; Department of Geography, Swansea University, Swansea SA2 8PP, United Kingdom; Desert Research Institute, Nevada System of Higher Education, Reno NV 89512, United States; Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales (IANIGLA), CCT-CONICET-Mendoza, Mendoza 5500, Argentina; British Antarctic Survey, Cambridge CB3 0ET, United Kingdom; Department of Earth and Environmental Sciences, Nagoya University, Nagoya 464-8601, Japan; School of Environment and Technology, University of Brighton, Brighton BN2 4GJ, United Kingdom; Department of Earth, Ocean and Atmospheric Sciences, Florida State University, Tallahassee FL 32308, United States; Department of Glaciology, Alfred Wegener Institute for Polar and Marine Research in the Helmholtz Association, Bremerhaven 27570, Germany; College of Life and Environmental Sciences, University of Exeter, Exeter EX4 4RJ, United Kingdom; Climate Change Research Centre, University of New South Wales, Sydney NSW 2052, Australia; ARC Centre of Excellence for Climate System Science, University of New South Wales, Sydney NSW 2052, Australia; Centro de Estudios Cientificos, Valdivia, Chile; Department of Chemistry Ugo Schiff, University of Florence, Sesto Fiorentino 50019, Italy; Jackson School of Geosciences, University of Texas at Austin, Austin TX 78712, United States; LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing 100029, China; Institute of Geography, Russian Academy of Sciences, Moscow 119017, Russian Federation; Department of Earth and Space Sciences, University of Washington, Seattle WA 98195, United States; National Centre for Antarctic and Ocean Research, Goa 403 804, India; Laboratory of Tree-Ring Research, University of Arizona, Tucson AZ 85721, United States; Department of Biology, Ghent University, Ghent 9000, Belgium; Department of Geography, University of Ottawa, Ottawa K1N 6N5, Canada; Niels Bohr Institute, University of Copenhagen, Copenhagen 2100, Denmark; Institute for Coastal Research, Helmholtz-Zentrum Geesthacht, Geesthacht 21502, Germany; National Climatic Data Center, National Oceanic and Atmospheric Administration, Boulder CO 80305, United States; Institute of Arctic and Alpine Research, University of Colorado, Boulder CO 80309, United States; Department of Forest Science, Shinshu University, Nagano 399-4598, Japan}	Continental-scale temperature variability during the past two millennia	3
10.1038/nature12670	{Brazil, Canada, Israel, Australia, Iran, Peru, Mexico, Tunisia, United States, Morocco, China, Ecuador, Chile, Kenya, Argentina, Venezuela, Spain}	{Departamento de Sistemas Físicos, Químicos y Naturales, Universidad Pablo de Olavide, Carretera de Utrera, kilómetro 1, 41013 Sevilla, Spain; Area de Biodiversidad y Conservación, Departamento de Biología y Geología, Universidad Rey Juan Carlos, Calle Tulipan Sin Numero, 28933 Mostoles, Spain; School of Forestry, Northern Arizona University, Flagstaff, AZ 86011, United States; Natural Resource Ecology Laboratory, Colorado State University, Fort Collins, CO 80523, United States; Departamento de Ingeniería Forestal,Campusde Rabanales Universidad de Córdoba, Carretera de Madrid, kilómetro 396, 14071 Córdoba, Spain; Department of Biology, Colorado State University, Fort Collins, CO 80523, United States; División de Ciencias Ambientales, Instituto Potosino de Investigación Científica y Tecnológica, San Luis Potosí, 78210, Mexico; Departamento de Biología, Universidad de la Serena, La Serena 599, 1700000, Chile; Instituto Nacional de Tecnología Agropecuaria, Estación Experimental San Carlos de Bariloche 277, Bariloche, Río Negro, 8400, Argentina; Universidad de Jaen, Departamento de Biología Animal, Biología Vegetal y Ecología, 23071 Jaen, Spain; Université de Sfax, Faculté des Sciences, Unité de Recherche Plant Diversity and Ecosystems in Arid Environments, Route de Sokra, kilomè tre 3.5, Boîte Postale 802, 3018 Sfax, Tunisia; Departamento de Ciências Biológicas, Universidade Estadual de Feira de Santana, Avenida Transnordestina Sin Número, Bairro Novo Horizonte, Feira de Santana, 44036-900, Brazil; Direction Regionale des Eaux et Forê Ts et de la Lutte Contre la de Sertification du Rif, Avenue Mohamed 5, Boîte Postale 722, 93000 Tétouan, Morocco; School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW 2052, Australia; Instituto de Ecología, Universidad Técnica Particular de Loja, San Cayetano Alto, Marcelino Champagnat, Loja, 11-01-608, Ecuador; Departamento de Biología, Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de San Juan, Rivadavia, San Juan, J5402DCS, Argentina; Laboratorio de Genómica y Biodiversidad, Departamento de CienciasBásicas, Universidad Del Bío-Bío 447, Chillán, 3780000, Chile; Instituto de Edafología, Facultad de Agronomía, Ciudad Universitaria, Caracas, 1051, Venezuela; Facultad de Agronomía, Universidad Nacional de la Pampa, Casilla de Correo 300, 6300 Santa Rosa, La Pampa, Argentina; Laboratorio de Biogeoquímica, Centro de Agroecología Tropical, Universidad Experimental Simón Rodríguez, United States; Department of Range and Watershed Management, Faculty of Natural Resources and Environment, Ferdowsi University of Mashhad, Azadi Square, Mashhad 91775-1363, Iran; Institute of Grassland Science, Northeast Normal University and Key Laboratory of Vegetation Ecology, Ministry of Education, Changchun, Jilin Province 130024, China; Department of Biological Sciences, Northern Arizona University, PO Box 5640, Flagstaff, AZ 86011-5640, United States; Department of Evolution, Ecology and Organismal Biology, Ohio State University, 318 West 12th Avenue, Columbus, OH 43210, United States; Université du Québecà Montréal Pavillon des Sciences Biologiques, Département des Sciences Biologiques, 141 Président-Kennedy, Montré al, Québec H2X 3Y5, Canada; Production Systems and the Environment Sub-Program, International Potato Center., Apartado 1558, Lima 12, Peru; Department of Agronomy and Soil Science, School of Environmental and Rural Science, University of New England, Armidale, NSW 2351, Australia; Departamento de Química y Suelos, Decanato de Agronomía, Universidad Centroccidental ''lisandro Alvarado'', Barquisimeto 3001, Venezuela; Department of Agronomy and Natural Resources, Institute of Plant Sciences, Agricultural Research Organization, Volcani Center, Bet Dagan 50250, Israel; Office of Environment and Heritage, PO Box 363, Buronga, NSW 2739, Australia; Zoology Department, National Museums of Kenya, Ngara Road, Nairobi, 78420-00500, Kenya; Department of Natural Resources and Agronomy, Agriculture Research Organization, Ministry of Agriculture, Gilat Research Center, Mobile Post Negev 85280, Israel}	Decoupling of soil nutrient cycles as a function of aridity in global drylands	2
10.5194/acp-13-2793-2013	{Canada, United States, Australia, Denmark, United Kingdom, Germany, Chile, Switzerland, New Zealand, Norway}	{Climate and Environmental Physics, Physics Institute, University of Bern, Bern, Switzerland; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland; Center for International Climate and Environmental Research - Oslo (CICERO), P.O. Box 1129 Blindern, 0318 Oslo, Norway; MASCOS, University of Melbourne, 139 Barry St, VIC 3010, Australia; Potsdam Institute for Climate Impact Research, P.O. Box 601203, 14412, Potsdam, Germany; Max Planck Institute for Meteorology, Bundesstr. 53, 20146 Hamburg, Germany; Met Office Hadley Centre, FitzRoy Road, Exeter, EX1 3PB, United Kingdom; School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Open University, Environment, Earth and Ecosystems, Milton Keynes, United Kingdom; International Pacific Research Center, School of Ocean and Earth Science and Technology, University of Hawaii, 1680 East-West Rd., Honolulu, HI, United States; AOS Program, Princeton University, Princeton, NJ, United States; Department of Oceanography, School of Ocean and Earth Science and Technology, University of Hawaii, Honolulu, HI, 96822, United States; Department of Earth Sciences, University of Minnesota, Minneapolis, MN, United States; School of Earth Sciences, University of Melbourne, VIC, Australia; New Zealand Agricultural Greenhouse Gas Research Centre, Palmerston North 4442, New Zealand; Department of Geophysics, University of Concepcion, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; Institute for Atmospheric and Climate Science, ETH Zurich, Zurich, Switzerland}	Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: A multi-model analysis	1
10.1175/JCLI-D-12-00001.1	{Chile}	{Department of Geophysics, Universidad de Chile, Santiago, Chile}	Large-scale control on the Patagonian climate	1
10.1038/nclimate1936	{United States, China, Chile, Argentina, Hong Kong, New Zealand}	{Department of Geography, University of Hong Kong, Hong Kong, Hong Kong; International Pacific Research Center, University of Hawaii at Manoa, Honolulu, HI 96815, United States; Scripps Institution of Oceanography, University of California at San Diego, San Degio, CA 92093-0230, United States; Physical Oceanography Laboratory and Ocean-Atmosphere Interaction and Climate Laboratory, Ocean University of China, Qingdao 266100, China; Lamont-Doherty Earth Observatory, Columbia University, Palisades, NY 10964, United States; Instituto Argentino de NivologI'a, GlaciologI'a y Ciencias Ambientales (IANIGLA), CCT-CONICET, C.C. 330, 5500 Mendoza, Argentina; Laboratorio de DendrocronologI'a y Cambio Global, Instituto de Conservación Biodiversidad y Territorio, Universidad Austral de Chile, Casilla 567, Valdivia, Chile; Center for Climate and Resilience Research CR2, Casilla 2777, Chile; MOE Key Laboratory of Western China's Environmental System, Lanzhou University, Lanzhou 730000, China; School of Environment, University of Auckland, Auckland 1020, New Zealand}	El Niño modulations over the past seven centuries	2
10.1175/JCLI-D-12-00584.1	{Canada, United Kingdom, Denmark, United States, Russian Federation, Germany, Chile, Belgium, Japan, Switzerland}	{Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC V5A1S6, Canada; School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Earth and Life Institute, Georges Lemaître Centre for Earth and Climate Research, Université Catholique de Louvain, Louvain-La-Neuve, Belgium; The Open University, Milton Keynes, United Kingdom; A. M. Obukhov Institute of Atmospheric Physics, RAS, Moscow, Russian Federation; Potsdam Institute for Climate Impact Research, Potsdam, Germany; The Pennsylvania State University, University Park, PA, United States; University of Exeter, Exeter, United Kingdom; Physics Institute, University of Bern, Bern, Switzerland; Research Institute for Global Change, JAMSTEC, Yokohama, Japan; The Ecosystems Center, MBL, Woods Hole, MA, United States; University of Minnesota, Minneapolis, MN, United States; Massachusetts Institute of Technology, Cambridge, MA, United States; Danish Meteorological Institute, Copenhagen, Denmark; National Space Institute, Technical University of Denmark, Kongens Lyngby, Denmark; School of Geographical Sciences, University of Bristol, Bristol, United Kingdom; Department of Geophysics, University of Concepcion, Concepcion, Chile; University of Tokyo, Tokyo, Japan; University of Maryland, College Park, College Park, MD, United States; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland}	Long-Term climate change commitment and reversibility: An EMIC intercomparison	1
10.1038/srep33130	{United States, Netherlands, Chile, France, United Kingdom, Peru, Spain}	{Global Change Unit, Image Processing Laboratory, University of Valencia, C/Catedrático José Beltrán 2, Paterna, Valencia, 46980, Spain; Laboratory for the Analysis of the Biosphere, Department of Environmental Sciences and Renewable Natural Resources, University of Chile, Av. Santa Rosa, Santiago, 11315, Chile; Instituto de Conservación, Biodiversidad y Territorio, Universidad Austral de Chile, Valdivia, Chile; Center for Climate and Resilience Research, Universidad de Chile, Santiago, Chile; Laboratoire des Sciences du Climat et de l'Environnement, Gif-sur-Yvette, 91191, France; School of Geography, University of Leeds, Leeds, LS2 9JT, United Kingdom; Department of Geographical Sciences, University of Maryland, College Park, MD  20742, United States; Instituto Geofísico Del Perú, Lima, Peru; School of Geography and the Environment, University of Oxford, South Parks Road, Oxford, OX13QY, United Kingdom; Royal Netherlands Meteorological Institute (KNMI), Netherlands}	Record-breaking warming and extreme drought in the Amazon rainforest during the course of El Niño 2015-2016	3
10.1038/nature13196	{United States, Germany, Chile}	{MARUM-Center for Marine Environmental Sciences, University of Bremen, 28359 Bremen, Germany; Geology and Geophysics, Woods Hole Oceanographic Institution, Woods Hole, MA 02543, United States; Department of Oceanography, University of Concepción, Concepción, Chile; Federal Institute for Geosciences and Natural Resources, 30655 Hannover, Germany}	North Atlantic forcing of tropical Indian Ocean climate	1
10.5194/cp-9-1111-2013	{Canada, United States, Netherlands, Denmark, United Kingdom, Belgium, Germany, Chile, Russian Federation, Japan, Switzerland}	{School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Simon Fraser University, Vancouver, BC, Canada; Atmosphere and Ocean Research Institute, University of Tokyo, Kashiwa, Japan; Research Institute for Global Change, Japan Agency for Marine-Earth Science and Technology, Yokohama, Japan; Royal Netherlands Meteorological Institute, De Bilt, Netherlands; Georges Lemâtre Centre for Earth and Climate Research, Universit́e Catholique de Louvain, Louvain-La-Neuve, Belgium; Open University, Milton Keynes, United Kingdom; A. M. Obukhov Institute of Atmospheric Physics, RAS Moscow, Russian Federation; Potsdam Institute for Climate Impact Research, Potsdam, Germany; Pennsylvania State University, Pennsylvania, PA, United States; Climate and Environmental Physics, Physics Institute, University of Bern, Bern, Switzerland; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland; Ecosystems Center, MBL, Woods Hole, MA, United States; University of Minnesota, Minneapolis, Minnesota, MN, United States; Massachusetts Institute of Technology, Cambridge, MA, United States; Danish Meteorological Institute, Copenhagen, Denmark; National Space Institute, Technical University of Denmark, Kgs. Lyngby, Denmark; School of Geographical Sciences, University of Bristol, Bristol, United Kingdom; Department of Geophysics, University of Concepcion, Concepcion, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; National Centre for Atmospheric Science - Climate, University of Reading, Reading, United Kingdom; University of Maryland, College Park, Maryland, MO, United States}	Historical and idealized climate model experiments: An intercomparison of Earth system models of intermediate complexity	1
10.1126/science.1245424	{United States, Switzerland, Germany, Chile}	{Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polarund Meeresforschung, Bremerhaven, Germany; MARUM-Center for Marine Environmental Sciences, Bremen, Germany; Lamont-Doherty Earth Observatory, Columbia University, Palisades, NY 10964, United States; Department of Earth and Environmental Sciences, Columbia University, NY 10027, United States; Geologisches Institut, ETH Zürich, Zürich, Switzerland; Center for Climate and Resilience Research, University of Chile, Santiago, Chile; Geologie, Fachbereich Raum- und Umweltwissenschaften, Universität Trier, Trier, Germany}	Increased dust deposition in the Pacific Southern Ocean during glacial periods	1
