DI	AFF	INST	TI	NAT
10.1016/j.scitotenv.2019.03.037	{Chile}	{ Univ Concepcion, Fac Ciencias Ambientales, Dept Sistemas Acuat, Ctr EULA, Concepcion, Chile;  Ctr Recursos Hidr Agr & Mineria CRHIAM, Concepcion, Chile;  Univ Santo Tomas, Fac Ciencias, CiiCC, Santiago, Chile;  Univ Concepcion, Ctr Study Multiple Drivers Marine Socioecol Syst, Concepcion, Chile;  Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Concepcion, Chile;  Ctr Ciencia Clima & Resiliencia CR 2, Concepcion, Chile;  Univ Concepcion, Millennium Inst Oceanog IMO, Concepcion, Chile;  Univ Concepcion, Fac Environm Sci, Dept Aquat Syst, Aquat Ecosyst Functioning Lab LAFE, POB 160-C, Concepcion, Chile;  Univ Concepcion, Environm Sci Ctr EULA Chile, POB 160-C, Concepcion, Chile}	Greenhouse gases, nutrients and the carbonate system in the Reloncavi Fjord (Northern Chilean Patagonia): Implications on aquaculture of the mussel, Mytilus chilensis, during an episodic volcanic eruption	9
10.1073/pnas.1811463116	{England, Colombia, Chile}	{ Univ Chile, Dept Geophys, Santiago 8370449, Chile;  Univ Chile, CR2, Ctr Climate & Resilience Res, Santiago 8370449, Chile;  Pontificia Univ Catolica Chile, Dept Phys Geog, Santiago 7820436, Chile;  Univ Leeds, Sch Earth & Environm, Leeds LS2 9JT, W Yorkshire, England;  CIAT, CGIAR Res Program Climate Change Agr & Food Secu, Cali 763537, Colombia;  CIAT, Int Ctr Trop Agr, Cali 763537, Colombia}	Emergence of robust precipitation changes across crop production areas in the 21st century	3
10.3389/fmars.2019.00157	{Canada, HI 96822 USA, England, Germany, Chile, New Zealand, Spain}	{ GEOMAR Helmholtz Ctr Ocean Res Kiei, Kiel, Germany;  Ctr Oceanograf A Coruna, IEO, La Coruna, Spain;  Univ Concepcion, Ctr Climate & Resilience Res CR2, Dept Oceanog, Concepcion, Chile;  Univ East Anglia, Ctr Ocean & Atmospher Sci, Sch Environm Sci, Norwich, Norfolk, England;  Natl Inst Water & Atmospher Res, Wellington, New Zealand;  Univ Otago Dunedin, Dept Chem, Dunedin, New Zealand;  Plymouth Marine Lab, Plymouth, Devon, England;  Leibniz Inst Balt Sea Res Warnemunde, Dept Menne Chem, Rostock, Germany;  Univ British Columbia, Dept Bot, Dept Earth Ocean & Atmospher Sci, Vancouver, BC, Canada;  Newcastle Univ, Sch Nat & Environm Sci, Newcastle Upon Tyne, Tyne & Wear, England;  Univ Hawaii Manoa, Daniel K Inouye Ctr Microbial Oceanog Res & Educ, Honolulu, HI 96822 USA}	A Harmonized Nitrous Oxide (N2O) Ocean Observation Network for the 21st Century	1
10.1016/j.gloplacha.2019.02.011	{Chile, France}	{ Univ Chile, Dept Geol, Plaza Ercilla 803, Santiago, Chile;  Univ Chile, Dept Geofis, Santiago, Chile;  Nucleo Milenio Paleoclima, Santiago, Chile;  Univ Catolica Norte, Dept Biol Marina, Coquimbo, Chile;  CEAZA, La Serena, Chile;  Univ Concepcion, Ctr Invest Oceanog COPAS Sur Austral, Dept Oceanog, Concepcion, Chile;  Univ Austral Chile, Ctr Invest, Dinam Ecosistemas Marinos Altas Latitudes IDEAL, Valdivia, Chile;  Univ Montpellier, Geosci Montpellier, Montpellier, France;  Sorbone Univ, IRD, LOCEAN, Paris, France}	Extreme ENSO-driven torrential rainfalls at the southern edge of the Atacama Desert during the Late Holocene and their projection into the 21th century	7
10.1002/ecy.2584	{Chile}	{ Univ Austral Chile, Fac Ciencias Forest & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Univ Chile, Fac Ciencias Fis & Matemat, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Pontificia Univ Catolica Valparaiso, Inst Biol, Valparaiso, Chile}	A vertical forest within the forest: millenary trees from the Valdivian rainforest as biodiversity hubs	3
10.1007/s13280-018-1084-1	{Australia, Chile, ID 83844 USA}	{ Univ Tasmania, Sch Nat Sci, Private Bag 55, Hobart, Tas 7001, Australia;  Pontificia Univ Catolica Valparaiso, Inst Geog, Ave Brasil 2241, Valparaiso, Chile;  Univ Idaho, Coll Nat Resources, Moscow, ID 83844 USA;  Fis Medio Ambiente ONG FIMA, Mosqueto 491, Santiago 312, Chile;  Univ Austral Chile, Fac Ciencias, Inst Ciencias Tierra, Campus Isla Teja,Casilla 567, Valdivia, Chile;  Univ Concepcion, Fac Architecture Urbanism & Geog, Victor Lamas 1290, Concepcion, Chile;  Univ Tasmania, Menzies Inst Med Res, Private Bag 23, Hobart, Tas 7001, Australia;  Pontificia Univ Catolica Chile, Ind & Syst Engn Dept, Avda Vicuna Mackenna 4860, Santiago, Chile;  Univ Idaho, Coll Sci, Moscow, ID 83844 USA}	Human-environmental drivers and impacts of the globally extreme 2017 Chilean fires	5
10.1016/j.jag.2018.11.013	{Chile}	{ Pontificia Univ Catolica Valparaiso, Inst Geog, Valparaiso, Chile;  Univ Austral Chile, Ctr Transdisciplinario Estudios Ambientales & Des, Valdivia, Chile;  Univ Chile, Fac Ciencias Agron Santiago, Santiago, Chile;  Univ Chile, Ctr Climate Resilience Res CR 2, Santiago 8370449, Chile}	"GIMMS NDVI time series reveal the extent, duration, and intensity of ""blooming desert"" events in the hyper-arid Atacama Desert, Northern Chile"	4
10.1029/2018GL081475	{Chile, NV USA}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Ctr Climate & Resilience Res, Santiago, Chile;  Desert Res Inst, Las Vegas, NV USA;  Ctr Estudios Zonas Aridas, La Serena, Chile}	Strongest MJO on Record Triggers Extreme Atacama Rainfall and Warmth in Antarctica	3
10.1038/s41598-019-39312-0	{WA 98195 USA, WA 98416 USA, Germany, Chile, Japan, WA 98052 USA}	{ Univ Santiago Chile, Santiago, Chile;  NorthWest Res Associates, Redmond, WA 98052 USA;  Univ Washington, Dept Atmospher Sci, Seattle, WA 98195 USA;  Univ Puget Sound, Dept Chem, Tacoma, WA 98416 USA;  Univ Washington, Joint Inst Study Atmosphere & Ocean, Seattle, WA 98195 USA;  Leibniz Univ Hannover, Inst Meteorol & Climatol, Hannover, Germany;  MOP, DGA, Unidad Glaciol & Nieves, Santiago, Chile;  Univ Magallanes, Ctr Invest GAIA Antartica, Punta Arenas, Chile;  CEAZA, La Serena, Chile;  Chiba Univ, Ctr Environm Remote Sensing, Chiba, Japan;  Pontifica Univ Catolica Chile, Dept Phys Geog, Santiago, Chile;  Univ Chile, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Nacl Andres Bello, Fac Ingn, Lab Anal Isotop, Vina Del Mar, Chile}	Black carbon and other light-absorbing impurities in snow in the Chilean Andes	8
10.1029/2018PA003465	{Germany, Chile}	{ Alfred Wegener Inst Helmholtz Ctr Polar & Marine, Alten Hafen 21, Bremerhaven, Germany;  IOW Inst Baltic Sea Res, Warnemunde, Germany;  Alfred Wegener Inst Helmholtz Ctr Polar & Marine, Handelshafen 12, Bremerhaven, Germany;  Univ Magallanes, GAIA Antart, Punta Arenas, Chile;  Univ Chile, CR2, Santiago, Chile;  Univ Chile, Dept Geophys, Santiago, Chile}	Centennial-Scale SE Pacific Sea Surface Temperature Variability Over the 2,300 Years	3
