itemId,status,created,lastModif,Datos Publicación -- 737,Usuario -- 739,Reconocimiento o Afiliacion -- 751,Estado -- 741,Título -- 742,Autores -- 743,Lineas Involucradas -- 745,DOI -- 746,Código ISSN / ISBN -- 747,Nombre Journal -- 748,Ubicación en Línea -- 749,Año de Publicación -- 750,PARTICIPACION -- 753,FONDOS que aportaron a la publicación -- 754,% aportado por FONDAP -- 755,% aportado por FONDECYT -- 756,% aportado por FONDEF -- 757,% aportado por BASAL -- 758,% aportado por ICM -- 759,% aportado por Otro (indicar) -- 760,Adjunta la Publicación -- 763,Abstract -- 764,Revisión INTERNA -- 738,Periodo -- 752,Líneas Involucradas antiguas -- 744
4679,o,31/10/16 21:00,01/12/16 17:00,,paola.arias,SI,Publicadas,A correlated shortening of the North and South American monsoon seasons in the past few decades,"Arias, P.A., Fu, R., Vera, C., Rojas, M.",,10.1007/s00382-015-2533-1,0930-7575,Climate Dynamics,http://www.scopus.com/inward/record.ur<x>l?eid=2-s2.0-84923357337&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;partnerID=40&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;md5=4c4424699f7fdf990d1c73460744d4fa,2015.0,,,20,80,,,,,961,,en zotero,REPORTADA 2015,MOS
4680,o,31/10/16 21:00,01/12/16 17:00,,mrojas,SI,Publicadas,A correlated shortening of the North and South American monsoon seasons in the past few decades,"Arias, P.A., Fu, R., Vera, C., Rojas, M.",,10.1007/s00382-015-2533-1,0930-7575,Climate Dynamics,http://www.scopus.com/inward/record.ur<x>l?eid=2-s2.0-84923357337&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;partnerID=40&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;md5=4c4424699f7fdf990d1c73460744d4fa,2015.0,,,20,80,,,,,961,,en zotero,REPORTADA 2015,MOS
4681,o,31/10/16 21:00,01/12/16 17:00,,lnahuelhual,SI,Publicadas,A mapping approach to assess intangible cultural ecosystem services: the case of agriculture heritage in southern Chile.,"Nahuelhual, L., Carmona, A., Laterra., P., Barrena, J., Aguayo, M",,10.1016/j.ecolind.2014.01.005,,Ecologycal Indicators,https://www.scopus.com/record/display.ur<x>l?eid=2-s2.0-84893315449&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;origin=resultslist&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sort=plf-f&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;src=s&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;st1=+A+mapping+approach+to+assess+intangible+cultural+ecosystem+services%3a+the+case+of+agriculture+heritage+in+southern+Chile&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;st2=&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sid=CF8D9E46C35DE5F93CEA2453DF8D55BA.N5T5nM1aaTEF8rE6yKCR3A%3a2400&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sot=b&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sdt=b&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sl=135&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;s=TITLE-ABS-KEY%28+A+mapping+approach+to+assess+intangible+cultural+ecosystem+services%3a+the+case+of+agriculture+heritage+in+southern+Chile%29&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;relpos=0&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;relpos=0&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;citeCnt=3&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;searchTerm=TITLE-ABS-KEY%28+A+mapping+approach+to+assess+intangible+cultural+ecosystem+services%3A+the+case+of+agriculture+heritage+in+southern+Chile%29,2014.0,,,,,,,,,1003,,en zotero,REPORTADA 2014,HD
4682,o,31/10/16 21:00,01/12/16 17:00,,rdepol,NO,Publicadas,"A past-millennium maximum in postglacial activity from Volcán Chaitén, southern Chile","Moreno, P.I., Alloway, B.V., Villarosa, G., Outes, V., Henríquez, W.I., Pol-Holz, R.D., Pearce, N.J.G.",,10.1130/G36248.1,0091-7613,Geology,http://www.scopus.com/inward/record.ur<x>l?eid=2-s2.0-84920442255&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;partnerID=40&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;md5=5ee239a7120dbd614d5d2974ce7610ce,2015.0,,,,,,,,,995,,noack,REPORTADA 2015,"CD,                            BGQ"
4683,o,31/10/16 21:00,01/12/16 17:00,,pmoreno,NO,Publicadas,"A past-millennium maximum in postglacial activity from Volcán Chaitén, southern Chile","Moreno, P.I., Alloway, B.V., Villarosa, G., Outes, V., Henríquez, W.I., Pol-Holz, R.D., Pearce, N.J.G.",,10.1130/G36248.1,0091-7613,Geology,http://www.scopus.com/inward/record.ur<x>l?eid=2-s2.0-84920442255&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;partnerID=40&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;md5=5ee239a7120dbd614d5d2974ce7610ce,2015.0,,,,,,,,,995,,noack,REPORTADA 2015,"CD,                            BGQ"
4684,o,31/10/16 21:00,01/12/16 17:00,,flambert,SI,Publicadas,A review of the bipolar see-saw from synchronized and high resolution ice core water stable isotope records from Greenland and East Antarctica,"Landais, A., Masson-Delmotte, V., Stenni, B., Selmo, E., Roche, D.M., Jouzel, J., Lambert, F., Guillevic, M., Bazin, L., Arzel, O., Vinther, B., Gkinis, V., Popp, T.",,10.1016/j.quascirev.2015.01.031,0277-3791,Quaternary Science Reviews,http://www.scopus.com/inward/record.ur<x>l?eid=2-s2.0-84923542789&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;partnerID=40&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;md5=b8ceb20f706dcd45d655a69c16b68760,2015.0,,,10,,,,,,970,,en zotero,REPORTADA 2015,MOS
4685,o,31/10/16 21:00,01/12/16 17:00,,rgarreaud,SI,Publicadas,A synoptic climatology of the near-surface wind along the west coast of South America,"Rahn, D., and R. Garreaud",,10.1002/joc.3724,,Int. Journal of Climatology,https://www.scopus.com/record/display.ur<x>l?eid=2-s2.0-84896700300&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;origin=resultslist&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sort=plf-f&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;src=s&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;st1=A+synoptic+climatology+of+the+near-surface+wind+along+the+west+coast+of+South+America&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;st2=&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sid=CEA4AB003A2C751DCEC5252C44AA86CB.N5T5nM1aaTEF8rE6yKCR3A%3a1740&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sot=b&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sdt=b&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sl=100&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;s=TITLE-ABS-KEY%28A+synoptic+climatology+of+the+near-surface+wind+along+the+west+coast+of+South+America%29&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;relpos=0&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;relpos=0&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;citeCnt=5&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;searchTerm=TITLE-ABS-KEY%28A+synoptic+climatology+of+the+near-surface+wind+along+the+west+coast+of+South+America%29,2014.0,,,,,,,,,1005,,reported twice,REPORTADA 2014,CD
4686,o,31/10/16 21:00,01/12/16 17:00,,rrondanelli,SI,Publicadas,An episode of extremely low precipitable water vapour over Paranal observatory,"Kerber, F. Querel, R. Rondanelli, R. et al,Kerber, F. Querel, R. Rondanelli, R. et al,",,10.1093/mnras/stt2404,0035-8711,Monthly Notices of the Royal Astronomical Society,https://www.scopus.com/record/display.ur<x>l?eid=2-s2.0-84894645164&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;origin=resultslist&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sort=plf-f&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;src=s&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;st1=An+episode+of+extremely+low+precipitable+water+vapour+over+Paranal+observatory&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;st2=&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sid=CF8D9E46C35DE5F93CEA2453DF8D55BA.N5T5nM1aaTEF8rE6yKCR3A%3a2110&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sot=b&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sdt=b&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;sl=93&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;s=TITLE-ABS-KEY%28An+episode+of+extremely+low+precipitable+water+vapour+over+Paranal+observatory%29&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;relpos=0&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;relpos=0&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;citeCnt=6&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;searchTerm=TITLE-ABS-KEY%28An+episode+of+extremely+low+precipitable+water+vapour+over+Paranal+observatory%29,2014.0,,,,,,,,,1002,,en zotero,REPORTADA 2014,BGQ
4687,o,31/10/16 21:00,05/08/17 08:35,,lfarias,SI,Publicadas,An unaccounted for N&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;lt;inf&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;gt;2&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;lt;/inf&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;gt;O sink in the surface water of the eastern subtropical South Pacific: Physical versus biological mechanisms,"Cornejo, M., Murillo, A.A., Farías, L.",,10.1016/j.pocean.2014.12.016,0079-6611,Progress in Oceanography,http://www.scopus.com/inward/record.ur<x>l?eid=2-s2.0-84939262994&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;partnerID=40&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;md5=439e32fb7879c6ee9a07ed28855abfc5,2015.0,,,25,50,,,25,,,,en zotero,REPORTADA 2014,BGQ
4688,o,31/10/16 21:00,01/12/16 17:00,,aosses,SI,Publicadas,Analysis and evolution of air quality monitoring networks using combined statistical information indexes,"A.Osses, L. Gallardo, T. Faundez",,10.3402/tellusb.v65i0.19822,,Tellus B ,,2013.0,,,,,,,,,,,en zotero,REPORTADA 2013,MOS
