N;Funding Year;Línea de Investigación;Research Lines;Año;Autores;Título;Revista;Ficha de Publicación;DOI;ISSN;Abstract;Acceso;Páginas;Volumen;Index
1.0;2013;Servicios Ecosistémicos;ECO;2013;Delgado-Baquerizo, M., Maestre, F. T., Gallardo, A., Bowker, M. A., Wallenstein, M. D., Quero, J. L., Gómez-González, S., … Zaady, E.;Decoupling of soil nutrient cycles as a function of aridity in global drylands;Nature;;10.1038/nature12670;0028-0836;"The iconic conifer Araucaria araucana (Araucaria), called Pehuén by native people, is an endemic species of the Andes of northern Patagonia in Chile and Argentina. Its range encompasses only three degrees of latitude (37 ◦ 20 – 40 ◦ 20 S) with a small outlying presence in the coastal mountains of Chile (Veblen et al. 1995). The species is classified as endangered (Premoli et al. 2013) because of extensive logging and human-set fires. 
Araucaria araucana has a long history of ethnobiological importance. For centuries the Pehuén fruits have been a vital sustainable food source for the Pehuenche people (Mapuche) and today the growing industry of ecotourism indirectly serves to protect these forests (Aagesen 1998; González et al. 2013). After a long history of human destruction of A. araucana forests, which reduced its range to half its original distribution, Chile and Argentina now legally protect this endangered species. These ecosystems continue to be threatened by logging, fires, and extensive livestock use. These factors, and the potential threats posed by climate change, are among the main challenges to A. araucana conservation (González and Lara
2015).";http://www.nature.com/doifinder/10.1038/nature12670;672-676;vol.502 is.7473;Thomson Reuters ISI
2.0;2013;Modelación y Sistemas de Observación;MOS;2013;Eby, M., Weaver, A. J., Alexander, K., Zickfeld, K., Abe-Ouchi, A., Cimatoribus, A. A., Shaffer, G., … Zhao, F.;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;Climate of the Past;;10.5194/cp-9-1111-2013;1814-9324;"The effect of the high frequency (synoptic) variability of wind and heat fluxes upon the surface ocean off south-central Chile (west coast of South America) is investigated using a regional ocean model. We focus our analysis in austral summer, when the regional wind experiences significant day-to-day variability superimposed on a mean, upwelling favorable flow. To evaluate the nature and magnitude of these effects, we performed three identical simulations except for the surface forcing: the climatological run, with long-term monthly mean wind-stresses and heat fluxes; the wind-synoptic run, with daily wind stresses and climatological heat fluxes; and the full-synoptic run, with daily wind-stresses and daily fluxes. The mean currents and surface geostrophic EKE fields show no major differences between simulations, and agree well with those observed in this ocean area. Nevertheless, substantially more ageostrophic EKE is found in the simulations which include synoptic variability of wind-stresses, impacting the total surface EKE and diffusivities, particularly south of Punta Lavapie (37° S), where the lack of major currents implies low levels of geostrophic EKE. Summer mean SSTs are similar in all simulations and agree with observations, but SST variability along the coast is larger in the runs including wind-stress synoptic variability, suggesting a rather linear response of the ocean to cycles of southerly wind strengthening and relaxation. We found that coastal SST variability does not change significantly in the first tenths of kilometers from the shore when including daily heat fluxes, highlighting the prominent role of wind-driven upwelling cycles. In contrast, in the offshore region situated beyond the 50 km coastal strip, it is necessary to include synoptic variability in the heat fluxes to account for a realistic SST variability.";http://www.clim-past.net/9/1111/2013/;1111-1140;vol.9 is.3;Thomson Reuters ISI
3.0;2013;Dinámica del Clima;CD;2013;Flores, F., Garreaud, R., & Muñoz, R. C.;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;Computers & Fluids;;10.1016/j.compfluid.2013.04.029;0045-7930;"Past global climate changes had strong regional expression. To elucidate their spatio-temporal pattern, we reconstructed past temperatures for seven continental-scale regions during the past one to two millennia. The most coherent feature in nearly all of the regional temperature reconstructions is a long-term cooling trend, which ended late in the nineteenth century. At multi- decadal to centennial scales, temperature variability shows distinctly different regional patterns, with more similarity within each hemisphere than between them. There were no globally synchronous multi-decadal warm or cold intervals that define a worldwide Medieval Warm Period or Little Ice Age, but all reconstructions show generally cold conditions between ad 1580 and 1880, punctuated in some regions by warm decades during the eighteenth century. The transition to these colder conditions occurred earlier in the Arctic, Europe and Asia than in North America or the Southern Hemisphere regions. Recent warming reversed the long-term cooling; during the period ad 1971-2000, the area-weighted average reconstructed temperature was higher than any other time in nearly 1,400 years. D";http://www.sciencedirect.com/science/article/pii/S0045793013001795;1-13;vol.82;Thomson Reuters ISI
4.0;2013;"Dinámica del Clima; Modelación y Sistemas de Observación";CD, MOS;2013;Garreaud, R., Lopez, P., Minvielle, M., & Rojas, M.;Large-Scale Control on the Patagonian Climate;Journal of Climate;;10.1175/JCLI-D-12-00001.1;0894-8755;Regional sea-level change for Chile is considered until the end of the 21st century for the RCP4.5 and RCP8.5 scenarios. The main components that contribute to sea-level change are analyzed and summed to achieve a total estimate of sea-level change along the coast of Chile and in the Southeast Pacific. Included are the steric/dynamic component, the contribution from land ice loss and the sea- level change due to the glacial isostatic adjustment. Regional fingerprints and global means are combined to estimate sea-level change in this area. For the steric/dynamic component two different estimates are considered. The results are compared to those found in the IPCC AR5 report. The total mean sea-level rise along the coast lies between 34 cm and 52 cm for the RCP4.5 scenario and between 46 cm and 74 cm for the RCP8.5 scenario, depending on the location and the steric/dynamic component estimate considered. This component is the main contribution in each scenario. All estimates show a modest, relatively constant decrease in sea-level rise along the coast from north to south.;http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-12-00001.1;215-230;vol.26 is.1;Thomson Reuters ISI
5.0;2013;Modelación y Sistemas de Observación;MOS;2013;Glasow, R. von, Jickells, T. D., Baklanov, A., Carmichael, G. R., Church, T. M., Gallardo, L., … Zhu, T.;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;AMBIO;;10.1007/s13280-012-0343-9;0044-7447;Cyanobacteria are widely distributed primary producers with significant implications for the global biogeochemical cycles of carbon and nitrogen. Diazotrophic cyanobacteria of subsection V (Order Stigonematales) are particularly ubiquitous in photoautotrophic microbial mats of hot springs. The Stigonematal cyanobacterium strain CHP1 isolated from the Porcelana hot spring (Chile) was one of the major contributors of the new nitrogen through nitrogen fixation. Further morphological and genetic characterization verified that the strain CHP1 belongs to Stigonematales, and it formed a separate clade together with other thermophiles of the genera Fischerella and Mastigocladus. Strain CHP1 fixed maximum N2 in the light, independent of the temperature range. At 50 °C nifH gene transcripts showed high expression during the light period, whereas the nifH gene expression at 45 °C was arrhythmic. The strain displayed a high affinity for nitrate and a low tolerance for high ammonium concentrations, whereas the narB and glnA genes showed higher expression in light and at the beginning of the dark phase. It is proposed that Mastigocladus sp. strain CHP1 would represent a good model for the study of subsection V thermophilic cyanobacteria, and for understanding the adaptations of these photoautotrophic organisms inhabiting microbial mats in hot springs globally.;http://link.springer.com/article/10.1007/s13280-012-0343-9;13-28;vol.42 is.1;Thomson Reuters ISI
6.0;2013;Modelación y Sistemas de Observación;MOS;2013;Joos, F., Roth, R., Fuglestvedt, J. S., Peters, G. P., Enting, I. G., von Bloh, W., Shaffer, G., … Weaver, A. J.;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;Atmospheric Chemistry and Physics;;10.5194/acp-13-2793-2013;1680-7316;Cyanobacteria from Subsection V (Stigonematales) are important components of microbial mats in non-acidic terrestrial hot springs. Despite their diazotrophic nature (N2 fixers), their impact on the nitrogen cycle in such extreme ecosystems remains unknown. Here, we surveyed the identity and activity of diazotrophic cyanobacteria in the neutral hot spring of Porcelana (Northern Patagonia, Chile) during 2009 and 2011-2013. We used 16S rRNA and the nifH gene to analyze the distribution and diversity of diazotrophic cyanobacteria. Our results demonstrate the dominance of the heterocystous genus Mastigocladus (Stigonematales) along the entire temperature gradient of the hot spring (69-38 °C). In situ nitrogenase activity (acetylene reduction), nitrogen fixation rates (cellular uptake of (15)N2) and nifH transcription levels in the microbial mats showed that nitrogen fixation and nifH mRNA expression were light-dependent. Nitrogen fixation activities were detected at temperatures ranging from 58 °C to 46 °C, with maximum daily rates of 600 nmol C2H4 cm(-2) per day and 94.1 nmol N cm(-2) per day. These activity patterns strongly suggest a heterocystous cyanobacterial origin and reveal a correlation between nitrogenase activity and nifH gene expression during diurnal cycles in thermal microbial mats. N and C fixation in the mats contributed ∼3 g N m(-2) per year and 27 g C m(-2) per year, suggesting that these vital demands are fully met by the diazotrophic and photoautotrophic capacities of the cyanobacteria in the Porcelana hot spring.;http://www.atmos-chem-phys.net/13/2793/2013/;2793-2825;vol.13 is.5;Thomson Reuters ISI
7.0;2013;Servicios Ecosistémicos;ECO;2013;Labarca Encina, R., Pino, M., & Recabarren, O.;Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): aspectos taxonómicos y tafonómicos preliminares;Estudios Geologicos;;10.3989/egeol.40862.219;0367-0449;"Purpose: To confront the increasingly devastating impacts of disasters and the challenges that climate change is posing to disaster risk management (DRM) there is an imperative to further develop DRM. The resilience approach is emerging as one way to do this, and in the last decade has been strongly introduced into the policy arena, although it is not new for DRM practitioners and researchers. Nevertheless, resilience is a highly contested issue, and there is no agreed definition of it, which has resulted in confusion for stakeholders when applying it to practice. Therefore, the purpose of this paper is to investigate how resilience is framed by researchers and DRM practitioners. Design/methodology/approach: The analytical framework used was Hajer's ""social-interactive discourse theory"", combined with analysis of government documents, in-depth interviews with practitioners and observation of field and practices within the context of the Natural Disaster Resilience Program in Queensland, Australia. Findings: One of the key findings is that the idea of ""bouncing back"" is central to the resilience discourse but different interpretations of this idea results in real-world implications. Three different ways (storylines) in which practitioners construct the meaning of disaster resilience emerge from this study. Importantly the divergences between these storylines reveal possibilities for reframing to occur and these could lead to different policy options and practices. Originality/value: The results presented in this paper offer empirical evidence on how resilience is understood on the ground, contributing to extending resilience theory and informing DRM and resilience practice. © Emerald Group Publishing Limited.";http://estudiosgeol.revistas.csic.es/index.php/estudiosgeol/article/view/881/913;255-269;vol.69 is.2;Thomson Reuters ISI
8.0;2013;Servicios Ecosistémicos;ECO;2013;Molina-Montenegro, M. A., Ricote-Martínez, N., Muñoz-Ramírez, C., Gómez-González, S., Torres-Díaz, C., Salgado-Luarte, C., & Gianoli, E.;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;Journal of Vegetation Science;;10.1111/j.1654-1103.2012.01480.x;1100-9233;"The resilience perspective has emerged as a plausible approach to confront the increasingly devastating impacts of disasters; and the challenges and uncertainty climate change poses through an expected rise in frequency and magnitude of hazards. Stakeholder participation is posited as pivotal for building resilience, and resilience is not passive; rather, stakeholders are actively involved in the process of building resilience. Who is involved and how they are involved are crucial aspects for developing resilience in practice. Nevertheless, there are few empirical studies available to inform theory or show how these issues are addressed. This study focuses on revealing how practitioners frame the issue of participation in relation to resilience, its relevance to a changing climate and how, in consequence, they construct practices. Using Hajer's [(1995). The politics of environmental discourse: Ecological modernization and the policy process. New York] ‘Social-interactive discourse theory’, in this...";http://onlinelibrary.wiley.com/doi/10.1111/j.1654-1103.2012.01480.x/abstract;463-472;vol.24 is.3;Thomson Reuters ISI
9.0;2013;Servicios Ecosistémicos;ECO;2013;Pino, M., Chávez-Hoffmeister, M., Navarro-Harris, X., & Labarca, R.;The late Pleistocene Pilauco site, Osorno, south-central Chile;Quaternary International;;10.1016/j.quaint.2012.05.001;1040-6182;There is a growing use of resilience ideas within the disaster risk management literature and policy domain. However, few empirical studies have focused on how resilience ideas are conceptualized by practitioners, as they implement them in practice. Using Hajer's 'social-interactive discourse theory' this research contributes to the understanding of how practitioners frame, construct and make sense of resilience ideas in the context of changes in institutional arrangements for disaster risk management that explicitly include the resilience approach and climate change considerations. The case study involved the roll out of the Natural Disaster Resilience Program in Queensland, Australia, and the study involved three sites in Queensland. The methods used were observation of different activities and the physical sites, revision of documents related to the Natural Disaster Resilience Program and in-depth semi-structured interviews with key informants, all practitioners who had direct interaction with the program. The research findings show that practitioners construct the meaning of disaster resilience differently, and these are embedded in diverse storylines. Within these storylines, practitioners gave different interpretations and emphasis to the seven discourse categories that characterized their resilience discourse. Self-reliance emerged as one of the paramount discourse categories but we argue that caution needs to be used when promoting values of self-reliance. If the policy impetus is a focus on learning, research findings indicate it is also pertinent to move from experiential learning toward social learning. The results presented in this study provide helpful insights to inform policy design and implementation of resilience ideas in disaster risk management and climate change, and to inform theory.;http://www.sciencedirect.com/science/article/pii/S1040618212003199;03/12/18;vol.299;Thomson Reuters ISI
10.0;2013;Dinámica del Clima;CD;2013;Power, M. J., Mayle, F. E., Bartlein, P. J., Marlon, J. R., Anderson, R. S., Behling, H., Moreno, P.I, … Walsh, M. K.;Climatic control of the biomass-burning decline in the Americas after ad 1500;The Holocene;;10.1177/0959683612450196;0959-6836;Current debate on the implementation of resilience in addressing climatic impacts calls for more pragmatic means of reducing losses. In this study we aimed to generate context-specific knowledge about resilience factors for addressing the impacts of drought, with the expectation that bringing forth experiential knowledge on how impacts were addressed in the past would shed light on what constitutes key resilience factors for practitioners working in urban contexts. The study was carried in three of the largest cities in Chile: Santiago, Concepción, and Valdivia. The analytical framework consists of urban and regional resilience incorporating transdisciplinary approaches applying the Resilience-Wheel tool, combined with participatory methods for the co-production of knowledge and qualitative content analysis of documents and workshops. Results show that key determinants of building resilience to drought were: improving education and access to information, enhancing preparedness, promoting technology transfer, reinforcing organizational linkages and collaboration, decentralizing governance, and encouraging citizen participation. The Resilience-Wheel was useful for navigating the conceptual complexity and diversity of perspectives inherent among social actors. The transdisciplinary approach allowed us to co-produce key knowledge that can be applied to build resilience in future, through a bottom-up approach that bridges the science–policy interface.;http://hol.sagepub.com/content/23/1/3;3-13;vol.23 is.1;Thomson Reuters ISI
