"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EIHKQ7DP","journalArticle","2018","Valenzuela, Raul A.; Kingsmill, David E.","Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern California. Part II: Horizontal and Vertical Structures Observed by a Scanning Doppler Radar","Monthly Weather Review","","0027-0644","10.1175/MWR-D-17-0227.1","http://journals.ametsoc.org/doi/10.1175/MWR-D-17-0227.1","This study documents the mean properties and variability of kinematic and precipitation structures associated with orographic precipitation along the coast of Northern California in the context of terrain-trapped airflows (TTAs). TTAs are defined as relatively narrow air masses that consistently flow in close proximity and approximately parallel to an orographic barrier. Seven land-falling winter storms are examined with observations from a scanning X-band Doppler radar deployed on the coast at Fort Ross, California. Additional information is provided by a 915-MHz wind-profiling radar, surface meteorology, a GPS receiver, and balloon soundings. The composite kinematic structure during TTA conditions exhibits a significant horizontal gradient of wind direction from the coast to approximately 50 km offshore and a low-level jet (LLJ) that surmounts a weaker airflow offshore corresponding to the TTA, with a zone of enhanced precipitation evident between ~5 and 25 km offshore and oriented nearly parallel to the coastline. Conversely, the composite kinematic structure during NO-TTA conditions exhibits a smaller offshore horizontal gradient of wind direction and precipitation structures are generally enhanced within ~15 km of the coastline. Interstorm variability analysis reveals significant variations in kinematic structures during both TTA and NO-TTA conditions, whereas significant variations in precipitation structures are only evident during TTA conditions. The interstorm analysis also illustrates more clearly how LLJ vertical structures evident during NO-TTA conditions exhibit ascent along the coast and over the coastal mountains, which is in contrast to TTA conditions where the ascent occurs offshore and over the TTA.","2018-08","2018-08-16 13:20:44","2018-08-16 13:27:44","2018-08-16 13:20:44","2381-2402","","8","146","","","Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern California. Part II","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo en revista científica/2018/Valenzuela_Kingsmill_2018_Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern.pdf","","Agua y Extremos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7NQBJTW","journalArticle","2018","Santoro, Calogero M.; Castro, Victoria; Capriles, José M.; Barraza, José; Correa, Jacqueline; Marquet, Pablo A.; McRostie, Virginia; Gayo, Eugenia M.; Latorre, Claudio; Valenzuela, Daniela; Uribe, Mauricio; de Porras, Maria Eugenia; Standen, Vivien G.; Angelo, Dante; Maldonado, Antonio; Hamamé, Eva; Jofré, Daniella","ACTA DE TARAPACÁ: &#8220;PUEBLO SIN AGUA, PUEBLO MUERTO&#8221;","Chungará (Arica)","","0717-7356","10.4067/S0717-73562018000200169","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562018000200169&lng=en&nrm=iso&tlng=en","“The Tarapacá Declaration” draws attention to the urgent need to change how human societies have been using water in the Atacama Desert, based on a historical trajectory spanning several millennia. The Declaration, an initiative that summarizes the results of the CONICYT/PIA, Anillo project SOC1405, is oriented towards civil society and various political entities, aiming to generate technological and cultural changes to halt and mitigate the effects caused by anthropogenic activities in one of the oldest and most arid deserts in the world. In the course of the project, we established the urgent need to sensitize society to the wasteful overuse and misuse of water in the Atacama Desert, a non-renewable resource in relation to the economic scales of extraction of this element that depends, fundamentally, on fossil waters that have accumulated for millennia in the highlands of the Desert. In this way we want to avoid that this scientific knowledge is encapsulated in the universities and to echo the point made by Victoria Castro (2003): that to grow you have to educate.","2018-06","2018-08-09 13:23:45","2018-08-09 13:25:57","2018-08-09 13:23:45","0-0","","2","50","","","ACTA DE TARAPACÁ","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo en revista científica/2018/Santoro et al_2018_ACTA DE TARAPACÁ.pdf","","Ciudades Resilientes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NURD5J9Q","journalArticle","2018","Benedetti, Angela; Reid, Jeffrey S.; Knippertz, Peter; Marsham, John H.; Di Giuseppe, Francesca; Rémy, Samuel; Basart, Sara; Boucher, Olivier; Brooks, Ian M.; Menut, Laurent; Mona, Lucia; Laj, Paolo; Pappalardo, Gelsomina; Wiedensohler, Alfred; Baklanov, Alexander; Brooks, Malcolm; Colarco, Peter R.; Cuevas, Emilio; da Silva, Arlindo; Escribano, Jeronimo; Flemming, Johannes; Huneeus, Nicolas; Jorba, Oriol; Kazadzis, Stelios; Kinne, Stefan; Popp, Thomas; Quinn, Patricia K.; Sekiyama, Thomas T.; Tanaka, Taichu; Terradellas, Enric","Status and future of numerical atmospheric aerosol prediction with a focus on data requirements","Atmospheric Chemistry and Physics","","1680-7324","10.5194/acp-18-10615-2018","https://www.atmos-chem-phys.net/18/10615/2018/","Numerical prediction of aerosol particle properties has become an important activity at many research and operational weather centers. This development is due to growing interest from a diverse set of stakeholders, such as air quality regulatory bodies, aviation and military authorities, solar energy plant managers, climate services providers, and health professionals. Owing to the complexity of atmospheric aerosol processes and their sensitivity to the underlying meteorological conditions, the prediction of aerosol particle concentrations and properties in the numerical weather prediction (NWP) framework faces a number of challenges. The modeling of numerous aerosol-related parameters increases computational expense. Errors in aerosol prediction concern all processes involved in the aerosol life cycle including (a) errors on the source terms (for both anthropogenic and natural emissions), (b) errors directly dependent on the meteorology (e.g., mixing, transport, scavenging by precipitation), and (c) errors related to aerosol chemistry (e.g., nucleation, gas-aerosol partitioning, chemical transformation and growth, hygroscopicity). Finally, there are fundamental uncertainties and significant processing overhead in the diverse observations used for verification and assimilation within these systems. Indeed, a significant component of aerosol forecast development consists in streamlining aerosol-related observations and reducing the most important errors through model development and data assimilation. Aerosol particle observations from satellite- and ground-based platforms have been crucial to guide model development of the recent years and have been made more readily available for model evaluation and assimilation. However, for the sustainability of the aerosol particle prediction activities around the globe, it is crucial that quality aerosol observations continue to be made available from different platforms (space, near surface, and aircraft) and freely shared. This paper reviews current requirements for aerosol observations in the context of the operational activities carried out at various global and regional centers. While some of the requirements are equally applicable to aerosol-climate, the focus here is on global operational prediction of aerosol properties such as mass concentrations and optical parameters. It is also recognized that the term ""requirements"" is loosely used here given the diversity in global aerosol observing systems and that utilized data are typically not from operational sources. Most operational models are based on bulk schemes that do not predict the size distribution of the aerosol particles. Others are based on a mix of ""bin"" and bulk schemes with limited capability of simulating the size information. However the next generation of aerosol operational models will output both mass and number density concentration to provide a more complete description of the aerosol population. A brief overview of the state of the art is provided with an introduction on the importance of aerosol prediction activities. The criteria on which the requirements for aerosol observations are based are also outlined. Assimilation and evaluation aspects are discussed from the perspective of the user requirements.","2018-07-25","2018-08-08 14:46:09","2018-08-08 14:58:17","2018-08-08 14:46:09","10615-10643","","14","18","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo en revista científica/2018/Benedetti et al_2018_Status and future of numerical atmospheric aerosol prediction with a focus on.pdf","","Ciudades Resilientes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZHJNL7W","bookSection","2017","Foxley, A.; Blanco, G.","Educación ambiental en Chile: (des)territorialización de una política pública","La política del ambiente en América Latina: una aproximación desde el cambio ambiental global","978-607-28-0932-1","","","https://www.clacso.org.ar/libreria-latinoamericana/libro_detalle.php?id_libro=1240&pageNum_rs_libros=0&totalRows_rs_libros=1180","A partir de la década de 1970, la educación ambiental ha sido una herramienta fundamental para enfrentar la crisis socioambiental global generada por los actuales modos de desarrollo capitalistas, incorporándose en las agendas públicas de organismos internacionales y de gobiernos de diversos países. En Chile se reconoce que la educación ambiental emerge en la década de 1990, a partir de iniciativas formales e informales, permanentes y transitorias, autogestionadas y dependientes de instituciones públicas o privadas. Este capítulo está centrado en el ámbito de la educación formal y surge de una investigación que tuvo por objetivo describir y analizar –desde una perspectiva no lineal y situada en el sur del país– los procesos de territorialización de la política pública de educación ambiental en Chile, a partir de uno de sus instrumentos principales: el Sistema Nacional de Certificación Ambiental de Establecimientos Educacionales (SNCAE). A partir de metodologías de investigación social cualitativa, revisión documental y trabajo etnográfico multisituado, nos aproximamos a actores involucrados en la operación de las políticas y el SNCAE en el plano global, nacional, regional y local. Esta metodología permitió reconocer y analizar procesos de institucionalización e internalización, entendidos como modos específicos de territorialización de la política pública, reconociendo en las escuelas rurales de la comuna de Panguipulli, en la región de Los Ríos (sur de Chile), un espacio de contacto entre las iniciativas de educación ambiental emanadas desde las instituciones globales y nacionales, y aquellas que son resignificadas desde las comunidades educativas según sus propios modos de relacionarse con el territorio. A la luz de la investigación, nos parece interesante describir y reconocer los modos en que la educación ambiental se incorpora a la educación formal desde los espacios regionales, para comprender en forma situada las representaciones y condiciones de posibilidad que surgen para el cambio ambiental local en territorios distantes del norte global y del centro nacional.","2017","2018-04-12 13:28:57","2018-08-06 14:19:15","","207 - 238","","","","","","","","","","","","México, México","Español","","","","","","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Sección de un libro/2017/Foxley_Blanco_2017_Educación ambiental en Chile.pdf","","Gobernanza e Interfaz Ciencia y Política","","","","","","","","","","","","","","","","","","","","","UAM Xochimilco / CLACSO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCKQ8679","journalArticle","2017","Billi, M; Urquiza Gómez, A; Feres Klenner, C","Comunicación ambiental y proyectos energéticos renovables no convencionales. Análisis de contenido en medios de comunicación de masa chilenos","Revista Latina de Comunicación Social","","1138-5820","10.4185/RLCS-2017-1216","http://www.revistalatinacs.org/072paper/1216/66es.html","Se observa la tematización mediática de proyectos Energéticos Renovables No Convencionales [ERNC] en términos de la relevancia y tratamiento otorgados a distintas fuentes y estructuras temáticas emergentes. Metodología. Análisis de contenido con enfoque mixto sobre una muestra de 100 artículos de prensa digital chilena relacionados con ERNC, usando el marco analítico de la Teoría de Sistemas Sociales de Niklas Luhmann. Resultados y Discusión. La primacía de fuentes solares y eólicas se acompaña a una reducida claridad terminológica, que sin embargo permite construir estructuras temáticas distintas en relación con sistemas sociales como economía, ciencia, política y derecho. Las referencias medioambientales son más escasas y menos profundas, privilegiando sus aspectos evocativos y con máxima capacidad de enlace. Conclusiones. En lugar que observar a los medios como mera transmisión de racionalidades externas a ellos debería prestarse atención a su capacidad de crear realidad y representar el entorno social y medioambiental.","2017-10-27","2018-07-10 20:22:39","2018-10-25 19:32:34","2018-07-10 20:22:39","1218-1237","","","72","","","","","","","","","","","","","","","Thomson Reuters ESCI Index","","DOI: 10.4185/RLCS-2017-1216","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo en revista científica/2017/Billi et al_2017_Comunicación ambiental y proyectos energéticos renovables no convencionales.pdf","","Ciudades Resilientes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BTIUM4S","journalArticle","2018","Mazzeo, Andrea; Huneeus, Nicolás; Ordoñez, César; Orfanoz-Cheuquelaf, Andrea; Menut, Laurent; Mailler, Sylvan; Valari, Myrto; Denier van der Gon, Hugo; Gallardo, Laura; Muñoz, Ricardo; Donoso, Rodrigo; Galleguillos, Maurico; Osses, Mauricio; Tolvett, Sebastian","Impact of residential combustion and transport emissions on air pollution in Santiago during winter","Atmospheric Environment","","1352-2310","10.1016/j.atmosenv.2018.06.043","https://linkinghub.elsevier.com/retrieve/pii/S1352231018304345","Santiago (33.5°S, 70.5°W), the capital of Chile, is frequently affected by extreme air pollution events during wintertime deteriorating air quality (AQ) and thus affecting the health of its population. Intense residential heating and on-road transport emissions combined with poor circulation and vertical mixing are the main factors responsible for these events. A modelling system composed of a chemistry-transport model (CHIMERE) and a meteorological model (WRF) was implemented to assess the AQ impacts of residential and transportation sources in the Santiago basin. A two-week period of July 2015 with various days with poor AQ was simulated focusing on the impact on AQ with respect to fully inhalable particles (PM2.5) and nitrogen oxides (NOX). Three emission scenarios, within the range of targeted reductions of the decontamination plan of Santiago, were tested; namely 50% reduction of residential emission, 50% reduction of transport emissions and the combination of both. An additional scenario decreasing transport emissions in 10% was carried out to examine whether a linear dependence of surface concentrations on changes in emissions exists. The system was validated against surface and vertically resolved meteorological measurements. The model reproduces the daily surface concentration variability from the AQ monitoring network of Santiago. However, the model not fully captures the emissions variations inferred from the observations which may be due to missing sources such as resuspension of dust. Results show that, during the period studied, although both residential and transportation sources contribute to observed AQ levels in Santiago, reducing transport emissions is more effective in terms of reducing the number of days with pollution events than decreasing residential combustion. This difference in impact is largely due to the spatial distribution of the emission sources. While most of the residential combustion is emitted in the outskirts of the city, most of the transport emissions occur within the city, where most of the stations from AQ monitoring network of Santiago are located. As can be expected, the largest improvement of AQ in Santiago is achieved by the combined reduction of emissions in both sectors. Sensitivity analysis with 10% reduction in transport emissions reveals a linear behavior between emissions and concentrations for NOX and approximate linear behavior for PM2.5. The absence of secondary aerosols formation and dust resuspension in the current simulation could explain this deviation from linearity for fine particles. Nevertheless, it suggests that the results can be used for mitigation policies with emissions reductions below the 50% used in this study.","2018-10","2018-07-31 21:17:51","2018-07-31 21:35:02","2018-07-31 21:17:51","195-208","","","190","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo en revista científica/2018/Mazzeo et al_2018_Impact of residential combustion and transport emissions on air pollution in.pdf","","Ciudades Resilientes; Cambio de Uso de Suelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJF6M5Y6","journalArticle","2014","Koshak, William; Peterson, Harold; Biazar, Arastoo; Khan, Maudood; Wang, Lihua","The NASA Lightning Nitrogen Oxides Model (LNOM): Application to air quality modeling","Atmospheric Research","","01698095","10.1016/j.atmosres.2012.12.015","http://linkinghub.elsevier.com/retrieve/pii/S0169809513000094","","2014-01","2018-07-19 19:49:37","2018-07-19 19:49:37","2018-07-19 19:49:37","363-369","","","135-136","","","The NASA Lightning Nitrogen Oxides Model (LNOM)","","","","","","","en","","","","","Crossref","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DT7RA9PD","book","2018","Finlayson, C. Max; Arthington, Angela H; Pittock, Jamie","Freshwater ecosystems in protected areas: conservation and management","","978-0-415-78700-0 978-0-415-78714-7","","","","","2018","2018-07-13 16:21:47","2018-07-13 16:21:47","","","","","","","","Freshwater ecosystems in protected areas","","","","","","","English","","","","","Open WorldCat","","OCLC: 1021308765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4T5AV69C","journalArticle","2018","Alcorta, Jaime; Espinoza, Sebastián; Viver, Tomeu; Alcamán-Arias, María E.; Trefault, Nicole; Rosselló-Móra, Ramon; Díez, Beatriz","Temperature modulates Fischerella thermalis ecotypes in Porcelana Hot Spring","Systematic and Applied Microbiology","","0723-2020","10.1016/j.syapm.2018.05.006","https://linkinghub.elsevier.com/retrieve/pii/S0723202018302297","In the Porcelana Hot Spring (Northern Patagonia), true-branching cyanobacteria are the dominant primary producers in microbial mats, and they are mainly responsible for carbon and nitrogen fixation. However, little is known about their metabolic and genomic adaptations at high temperatures. Therefore, in this study, a total of 81 Fischerella thermalis strains (also known as Mastigocladus laminosus) were isolated from mat samples in a thermal gradient between 61–46 °C. The complementary use of proteomic comparisons from these strains, and comparative genomics of F. thermalis pangenomes, suggested that at least two different ecotypes were present within these populations. MALDI-TOF MS analysis separated the strains into three clusters; two with strains obtained from mats within the upper temperature range (61 and 54 °C), and a third obtained from mats within the lower temperature range (51 and 46 °C). Both groups possessed different but synonymous nifH alleles. The main proteomic differences were associated with the abundance of photosynthesis-related proteins. Three F. thermalis metagenome assembled genomes (MAGs) were described from 66, 58 and 48 °C metagenomes. These pangenomes indicated a divergence of orthologous genes and a high abundance of exclusive genes at 66 °C. These results improved the current understanding of thermal adaptation of F. thermalis and the evolution of these thermophilic cyanobacterial species.","2018-06","2018-07-13 13:09:27","2018-07-13 13:13:11","2018-07-13 13:09:27","","","","","","","","","","","","","","en","","","","","Crossref","","","","/home/nvaldebenito/Zotero/storage/22FNH7LZ/Alcorta et al_2018_Temperature modulates Fischerella thermalis ecotypes in Porcelana Hot Spring.pdf","","Zonas Costeras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TE9LBQM","journalArticle","2018","Navarro, Cristobal A.; Vernier, Matthieu; Hitschfeld, Nancy; Bustos, Benjamin","Competitiveness of a Non-linear Block-space GPU Thread Map for Simplex Domains","IEEE Transactions on Parallel and Distributed Systems","","1045-9219","10.1109/TPDS.2018.2849705","https://ieeexplore.ieee.org/document/8392762/","This work presents and studies the efficiency problem of mapping GPU threads onto simplex domains. A non-linear map λ(ω) is formulated based on a block-space enumeration principle that reduces the number of thread-blocks by a factor of approximately 2× and 6× for 2-simplex and 3-simplex domains, respectively, when compared to the standard approach. Performance results show that λ(ω) is competitive and even the fastest map when ran in recent GPU architectures such as the Tesla V100, where it reaches up to 1.5× of speedup in 2-simplex tests. In 3-simplex tests, it reaches up to 2.3× of speedup for small workloads and up to 1.25× for larger ones. The results obtained make λ(ω) a useful GPU optimization technique with applications on parallel problems that define all-pairs, all-triplets or nearest neighbors interactions in a 2-simplex or 3-simplex domain.","2018","2018-07-11 20:44:36","2018-07-11 20:45:00","2018-07-11 20:44:36","1-1","","","","","","","","","","","","","","","","","","Crossref","","","","","","Ciudades Resilientes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
